,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
2,510232133,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9
5,510242137,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,8
8,510252136,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,14
9,510252138,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5
10,510252139,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4
11,510252140,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10
12,510252141,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10
13,510252147,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
20,510292173,0,0,0,0,0,16,0,0,0,0,0,0,0,6,0,0,21
21,510292175,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
23,510301001,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
24,510301014,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
25,510311126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,510311132,9,0,0,0,0,15,0,0,0,0,0,0,0,7,0,0,33
27,510311143,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,26
28,510311144,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3
29,510311149,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,15
30,510321145,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
31,510321147,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10
32,510321161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
33,510331015,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
34,510331019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
