,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
8,510252136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,510252138,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,510252147,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
20,510292173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
24,510301014,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,21
25,510311126,7,0,0,0,0,10,4,0,0,0,0,0,0,4,0,0,20
26,510311132,21,0,0,0,0,45,4,0,0,0,0,0,0,9,0,0,76
27,510311143,0,0,0,0,0,29,0,0,0,0,0,0,0,8,0,0,37
28,510311144,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,17
29,510311149,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,25
30,510321145,5,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,14
31,510321147,6,0,0,0,0,19,0,0,0,0,0,0,0,6,0,0,28
32,510321161,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9
33,510331015,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,24
34,510331019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
35,510331049,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
36,510341158,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,19
37,510341163,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,19
38,510341165,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8
