,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,510252136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510292173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,4,0,0,0,76,3,0,0,7,13,5,107,22,3,0,242
24,510301014,0,0,0,0,0,92,4,4,0,0,10,0,129,28,6,0,281
25,510311126,0,0,0,0,0,29,0,0,0,0,0,0,0,4,0,0,41
26,510311132,11,0,0,0,0,58,9,0,0,0,0,0,0,26,0,0,105
27,510311143,0,0,0,0,0,27,0,0,0,0,0,0,0,3,0,0,32
28,510311144,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,12
29,510311149,0,0,0,0,0,40,6,0,0,0,0,0,0,8,0,0,54
30,510321145,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,25
31,510321147,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,33
32,510321161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,510331015,0,5,0,0,0,146,20,0,0,6,26,4,164,52,6,0,444
34,510331019,0,3,0,0,0,35,0,0,0,0,6,0,31,5,4,0,96
35,510331049,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18
36,510341158,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,42
37,510341163,0,0,0,0,0,32,0,0,0,0,0,0,0,5,0,0,35
38,510341165,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
39,510341168,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8
40,510351121,3,3,0,0,0,89,0,0,0,8,0,4,5,11,0,0,117
41,510351122,0,20,0,0,3,151,15,0,3,12,0,0,0,34,5,0,242
42,510351129,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,30
43,510351130,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,35
44,510351133,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,28
45,510351135,0,18,0,0,0,107,3,0,0,25,0,5,3,17,0,0,181
46,510351137,0,0,0,0,0,36,6,0,0,0,0,0,0,9,0,0,43
47,510351140,0,0,0,0,0,24,0,0,0,0,0,0,0,5,0,0,28
48,510351151,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
49,510351154,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0,0,19
50,510361068,0,0,0,0,0,98,12,0,0,5,5,0,0,13,0,0,122
51,510361089,0,0,0,0,0,31,3,0,0,0,0,0,18,7,0,0,54
52,510361113,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12
53,510361127,0,0,0,0,0,29,0,0,0,0,0,0,0,6,0,0,35
54,510371082,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11
55,510381004,0,0,0,0,0,31,0,0,0,3,0,0,0,7,0,0,38
56,510381006,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,26
57,510381010,0,0,0,0,0,26,0,0,0,0,0,0,0,6,0,0,33
58,510381011,0,0,0,0,0,18,0,0,0,0,5,0,0,3,0,0,25
59,510381020,0,0,0,0,0,36,7,0,0,0,13,0,0,8,0,0,68
60,510381026,0,5,0,0,0,41,3,0,0,10,9,0,0,5,0,0,70
61,510391012,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,11
62,510391017,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
64,510391373,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,14
65,510391383,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,25
66,510391384,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,10
67,510391389,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
68,510391394,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11
69,510391397,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13
70,510401002,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
71,510401003,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,11
72,510401008,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11
73,510401009,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,18
74,510401013,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
75,510411021,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,11
76,510411022,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8
77,510411023,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
78,510411024,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
79,510411027,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,5
80,510411029,5,0,0,0,0,13,0,0,0,6,0,0,0,0,0,0,23
81,510411030,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,12
82,510411031,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10
83,510411033,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
84,510411035,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14
