,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,11
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,510252136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,510252141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510292173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,510301014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
25,510311126,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
26,510311132,17,9,0,0,0,20,4,0,0,0,0,0,0,13,0,0,60
27,510311143,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,19
28,510311144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,510311149,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,12
30,510321145,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15
31,510321147,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,25
32,510321161,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
33,510331015,0,3,0,0,0,8,0,0,0,0,0,0,0,3,0,0,13
34,510331019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,510341158,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10
37,510341163,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9
38,510341165,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
39,510341168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,510351121,3,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,32
41,510351122,0,35,0,0,3,66,7,0,0,7,12,0,0,14,0,0,144
42,510351129,0,4,0,0,0,9,0,0,0,0,27,3,49,11,8,0,128
43,510351130,0,5,0,0,0,15,0,0,0,0,0,0,0,8,0,0,26
44,510351133,4,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,15
45,510351135,0,34,0,0,4,37,0,0,0,7,23,0,4,24,7,0,134
46,510351137,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,19
47,510351140,0,4,0,0,0,14,3,0,0,0,0,0,0,5,0,0,21
48,510351151,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12
49,510351154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
50,510361068,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,17
51,510361089,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,14
52,510361113,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9
53,510361127,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11
54,510371082,0,3,0,0,0,4,0,0,0,0,9,0,0,0,0,0,12
55,510381004,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,16
56,510381006,5,3,0,0,0,6,0,0,0,0,0,0,0,7,0,0,19
57,510381010,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9
58,510381011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
59,510381020,7,3,0,0,0,12,0,0,0,0,4,0,0,3,0,0,29
60,510381026,6,7,0,0,0,12,0,0,0,0,3,0,0,9,0,0,41
61,510391012,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,9
62,510391017,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,11
65,510391383,0,5,0,0,0,12,0,0,0,0,0,0,0,4,0,0,17
66,510391384,5,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,15
67,510391389,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
68,510391394,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14
69,510391397,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8
70,510401002,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9
71,510401003,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
72,510401008,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12
73,510401009,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,16
74,510401013,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,15
75,510411021,0,3,0,0,0,5,0,0,0,0,0,0,0,5,0,0,19
76,510411022,0,0,0,0,0,8,0,0,0,3,3,0,0,3,0,0,17
77,510411023,4,4,0,0,0,8,0,0,0,0,5,0,0,0,0,0,21
78,510411024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
79,510411027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
80,510411029,0,3,0,0,0,11,0,0,0,0,4,0,0,0,0,0,25
81,510411030,0,4,0,0,0,5,0,0,0,0,11,0,4,4,0,0,38
82,510411031,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
83,510411033,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6
84,510411035,0,6,0,0,0,8,5,0,0,7,11,0,0,8,0,0,44
