,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
1,510222145,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
2,510232133,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,16
3,510232134,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5
4,510232135,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
5,510242137,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14
8,510252136,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10
9,510252138,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6
10,510252139,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10
11,510252140,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
12,510252141,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,7
13,510252147,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
19,510292171,0,0,0,0,0,30,0,0,0,0,0,0,0,10,0,0,39
20,510292173,0,0,0,0,0,21,3,0,0,0,0,0,0,11,0,0,39
21,510292175,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,13
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,510301014,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
25,510311126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
26,510311132,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
27,510311143,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,8
28,510311144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,510311149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,510321145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,510321147,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
32,510321161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,510331015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,510331019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,510341158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,510341163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
38,510341165,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
39,510341168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,510351121,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9
41,510351122,6,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,24
42,510351129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,510351130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,510351133,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
45,510351135,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12
46,510351137,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
47,510351140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,510351151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,510351154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,510361068,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14
51,510361089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,510361113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,510361127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,510371082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,510381004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,510381006,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
57,510381010,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
58,510381011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,510381020,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
60,510381026,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6
61,510391012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,510391017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4
65,510391383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,510391384,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
67,510391389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,510391394,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7
69,510391397,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
70,510401002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,510401003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,510401008,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
73,510401009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,510401013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,510411021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,510411022,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
77,510411023,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
78,510411024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
