,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
2,510232133,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,9
3,510232134,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
4,510232135,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,14
5,510242137,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
8,510252136,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13
9,510252138,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
19,510292171,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,17
20,510292173,0,0,0,0,0,22,3,0,0,0,0,0,0,3,0,0,26
21,510292175,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
22,510292177,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,510301014,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,7
25,510311126,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,18
26,510311132,6,0,0,0,0,25,0,0,0,0,0,0,0,6,0,0,32
27,510311143,4,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,18
28,510311144,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
29,510311149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,510321145,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,6
31,510321147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,510321161,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
33,510331015,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7
34,510331019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
35,510331049,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
36,510341158,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,11
37,510341163,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10
38,510341165,0,0,0,0,0,23,0,0,0,0,0,0,0,5,0,0,32
39,510341168,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4
40,510351121,5,0,0,0,0,55,6,0,0,0,0,0,0,13,0,0,75
41,510351122,34,0,0,0,0,186,5,0,0,0,0,0,4,58,0,0,289
42,510351129,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8
43,510351130,0,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,23
44,510351133,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,18
45,510351135,8,0,0,0,0,45,3,0,0,0,0,0,7,9,0,0,75
46,510351137,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,25
