,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8
2,510232133,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
4,510232135,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
5,510242137,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,19
6,510242143,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
7,510252132,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,19
8,510252136,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
9,510252138,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6
12,510252141,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
13,510252147,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,16
14,510262172,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
19,510292171,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5
20,510292173,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9
21,510292175,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7
24,510301014,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,23
25,510311126,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,42
26,510311132,6,0,0,0,0,40,0,0,0,0,0,0,0,8,0,0,60
27,510311143,0,0,0,0,0,42,0,0,0,0,0,0,0,5,0,0,55
28,510311144,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10
29,510311149,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,16
30,510321145,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11
31,510321147,3,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,24
32,510321161,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5
33,510331015,3,0,0,0,0,14,0,0,0,0,0,0,0,5,0,0,23
34,510331019,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,510341158,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24
37,510341163,0,0,0,0,0,29,0,0,0,0,0,0,0,5,0,0,32
38,510341165,3,0,0,0,0,29,0,0,0,0,0,0,0,4,0,0,42
39,510341168,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
40,510351121,4,0,0,0,0,60,5,0,0,0,0,0,0,9,0,0,84
41,510351122,43,13,0,0,0,334,14,0,0,3,0,0,13,66,3,0,492
42,510351129,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,27
43,510351130,6,3,0,0,0,39,0,0,0,0,0,0,0,14,0,0,66
44,510351133,0,0,0,0,0,28,0,0,0,0,0,0,0,8,0,0,40
45,510351135,7,7,0,0,3,88,3,0,0,0,0,0,13,4,0,0,132
46,510351137,0,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,32
47,510351140,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,12
48,510351151,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,12
49,510351154,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6
50,510361068,0,0,0,0,0,49,0,0,0,0,0,0,4,4,0,0,55
51,510361089,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,15
52,510361113,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,13
53,510361127,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
54,510371082,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,20
55,510381004,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,23
56,510381006,3,0,0,0,0,26,0,0,0,0,0,0,0,4,0,0,41
57,510381010,0,0,0,0,0,29,0,0,0,0,0,0,3,4,0,0,45
58,510381011,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,14
59,510381020,11,0,0,0,0,50,0,0,0,0,0,0,3,3,0,0,62
60,510381026,29,0,0,0,0,57,0,0,0,0,0,0,7,11,0,0,105
61,510391012,0,4,0,0,0,7,0,0,0,0,0,0,0,4,0,0,13
62,510391017,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,22
65,510391383,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,10
66,510391384,3,3,0,0,0,23,0,0,0,0,0,0,0,3,0,0,27
67,510391389,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8
68,510391394,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,17
69,510391397,3,0,0,0,0,22,0,0,0,0,0,0,0,7,0,0,27
70,510401002,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,19
71,510401003,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,18
72,510401008,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,24
73,510401009,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,14
74,510401013,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,21
75,510420001,16,0,0,0,0,88,4,0,0,0,0,0,11,7,0,0,114
76,510421040,14,0,0,0,0,32,0,0,0,0,0,0,0,4,0,0,50
77,510421042,6,0,0,0,0,50,5,0,0,0,0,0,0,8,0,0,64
78,510421043,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,41
79,510421046,26,0,0,0,0,91,6,0,0,0,10,0,17,13,3,0,172
80,510421059,0,0,0,0,0,7,0,0,0,0,0,0,4,3,0,0,15
81,510421060,10,0,0,0,0,48,6,0,0,0,0,0,5,0,0,0,72
82,510421072,5,0,0,0,0,99,0,0,0,0,0,0,0,23,0,0,129
83,510421074,3,0,0,0,0,30,0,0,0,0,0,0,0,5,0,0,40
84,510421110,11,0,0,0,0,19,0,0,0,0,0,0,0,3,0,0,34
85,510431007,7,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,33
86,510431016,3,0,0,0,0,33,3,0,0,0,0,0,5,0,0,0,45
87,510431018,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,22
88,510431025,0,0,0,0,0,19,0,0,0,0,0,0,0,4,0,0,25
89,510431028,15,0,0,0,0,70,4,0,0,0,0,0,11,14,0,0,121
90,510431034,7,0,0,0,0,75,0,0,0,0,0,0,0,19,0,0,100
