,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
2,510232133,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
3,510232134,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
8,510252136,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,510252147,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
20,510292173,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
