,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
2,510232133,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10
3,510232134,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
4,510232135,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8
5,510242137,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
6,510242143,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
7,510252132,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14
8,510252136,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,11
9,510252138,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
12,510252141,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
13,510252147,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,14
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
19,510292171,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
20,510292173,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,14
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
22,510292177,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
24,510301014,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
25,510311126,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,22
26,510311132,15,0,0,0,0,36,5,0,0,0,0,0,0,11,0,0,65
27,510311143,0,0,0,0,0,34,0,0,0,0,0,0,0,3,0,0,38
28,510311144,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,16
29,510311149,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13
30,510321145,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,19
31,510321147,0,0,0,0,0,9,4,0,0,0,0,0,0,5,0,0,20
32,510321161,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,0,24
33,510331015,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,14
34,510331019,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5
35,510331049,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
36,510341158,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
37,510341163,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,27
38,510341165,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,35
39,510341168,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
40,510351121,4,0,0,0,0,67,5,0,0,0,0,0,0,14,0,0,96
41,510351122,52,9,0,0,0,283,15,0,0,0,0,0,4,61,0,0,423
42,510351129,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,20
43,510351130,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,37
44,510351133,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,32
45,510351135,15,0,0,0,0,74,3,0,0,0,0,0,4,4,0,0,104
46,510351137,0,0,0,0,0,19,0,0,0,0,0,0,4,0,0,0,24
47,510351140,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,9
48,510351151,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
49,510351154,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,12
50,510361068,0,0,0,0,0,42,0,0,0,0,0,0,0,8,0,0,52
51,510361089,0,0,0,0,0,13,0,0,0,0,0,0,4,0,0,0,15
52,510361113,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10
53,510361127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,510371082,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11
55,510381004,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,22
56,510381006,0,0,0,0,0,29,0,0,0,0,0,3,0,7,0,0,42
57,510381010,0,0,0,0,0,29,0,0,0,0,0,0,0,4,0,0,33
58,510381011,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,11
59,510381020,11,0,0,0,0,37,0,0,0,0,0,0,8,4,0,0,67
60,510381026,9,0,0,0,0,31,0,0,5,0,0,0,8,5,0,0,55
61,510391012,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,11
62,510391017,3,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,17
