,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,18
2,510232133,0,0,0,0,0,23,0,0,0,0,0,0,0,5,0,0,30
3,510232134,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11
4,510232135,5,0,0,0,0,29,0,0,0,0,0,0,0,4,0,0,39
5,510242137,3,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,24
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7,510252132,0,0,0,0,0,38,3,0,0,0,0,0,0,9,0,0,52
8,510252136,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,22
9,510252138,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,15
10,510252139,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,18
11,510252140,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,13
12,510252141,6,0,0,0,0,24,0,0,0,0,0,0,0,3,0,0,24
13,510252147,0,0,0,0,0,18,0,0,0,0,0,0,0,7,0,0,26
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
15,510262174,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
16,510272130,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,48
17,510282142,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
18,510282144,4,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,13
19,510292171,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13
20,510292173,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,28
21,510292175,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
22,510292177,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,510301014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,510311126,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
26,510311132,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,8
27,510311143,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12
28,510311144,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
29,510311149,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
30,510321145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,510321147,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,12
32,510321161,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9
33,510331015,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
34,510331019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,510341158,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
37,510341163,4,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,15
38,510341165,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,30
39,510341168,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7
40,510351121,0,0,0,0,0,20,0,0,0,0,0,0,0,9,0,0,32
41,510351122,26,3,0,0,0,74,5,0,0,0,0,0,0,16,0,0,128
42,510351129,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
43,510351130,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14
44,510351133,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9
45,510351135,12,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,34
46,510351137,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
47,510351140,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
48,510351151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
49,510351154,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
50,510361068,0,0,0,0,0,25,0,0,0,0,3,0,0,0,0,0,32
51,510361089,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
52,510361113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
53,510361127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,510371082,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,9
55,510381004,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10
56,510381006,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10
57,510381010,4,0,0,0,0,8,0,0,0,0,0,0,3,3,0,0,13
58,510381011,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
59,510381020,13,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,29
60,510381026,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,20
61,510391012,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
62,510391017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,510391383,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4
