,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,510252136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510292173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,510301014,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
25,510311126,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
26,510311132,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10
27,510311143,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
28,510311144,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,8
29,510311149,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9
30,510321145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
31,510321147,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9
32,510321161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,510331015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
34,510331019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,510331049,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
36,510341158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,510341163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,510341165,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
39,510341168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,510351121,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,17
41,510351122,15,6,0,0,0,92,0,0,0,0,0,0,0,26,0,0,135
42,510351129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,510351130,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,11
44,510351133,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,17
45,510351135,3,0,0,0,0,23,0,0,0,0,0,0,8,4,0,0,37
46,510351137,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
47,510351140,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11
48,510351151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,510351154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
50,510361068,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9
51,510361089,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
52,510361113,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10
53,510361127,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
54,510371082,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
55,510381004,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10
56,510381006,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9
57,510381010,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,21
58,510381011,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
59,510381020,6,0,0,0,0,15,0,0,0,0,0,0,7,0,0,0,25
60,510381026,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,16
61,510391012,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
62,510391017,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13
65,510391383,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17
66,510391384,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,6
67,510391389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
68,510391394,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,17
69,510391397,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,17
70,510401002,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
71,510401003,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
72,510401008,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6
73,510401009,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
74,510401013,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
75,510420001,5,0,0,0,0,20,0,0,0,0,0,0,5,3,0,0,30
76,510421040,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,8
77,510421042,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,14
78,510421043,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,12
79,510421046,3,0,0,0,0,22,0,0,0,0,0,0,8,3,0,0,33
80,510421059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,510421060,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,20
82,510421072,8,0,0,0,0,15,0,0,0,0,0,0,0,6,0,0,30
83,510421074,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,15
84,510421110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
