,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,510252136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510292173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,10
24,510301014,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
25,510311126,4,0,0,0,0,48,11,0,0,0,0,0,6,5,0,0,72
26,510311132,5,13,0,0,0,149,31,0,0,5,0,4,5,49,0,0,263
27,510311143,0,4,0,0,0,70,5,0,0,0,0,0,0,9,0,0,94
28,510311144,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,25
29,510311149,0,3,0,0,0,67,0,0,0,0,0,0,0,12,0,0,90
30,510321145,0,0,0,0,0,40,3,0,0,0,0,0,0,6,0,0,57
31,510321147,0,0,0,0,0,69,8,0,0,0,0,0,3,9,0,0,95
32,510321161,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
33,510331015,0,0,0,0,0,21,6,0,0,0,0,4,0,9,0,0,43
34,510331019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
35,510331049,0,0,0,0,0,15,0,0,0,0,0,3,20,6,0,0,45
36,510341158,0,0,0,0,0,32,4,0,0,0,0,0,0,6,0,0,44
37,510341163,3,0,0,0,0,46,4,0,0,0,0,0,0,6,0,0,62
38,510341165,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13
39,510341168,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9
40,510351121,0,0,0,0,0,81,5,0,0,9,0,14,19,6,0,0,141
41,510351122,0,35,0,0,0,229,48,0,3,44,0,50,0,62,0,0,474
42,510351129,0,0,0,0,0,38,4,0,0,4,0,5,7,10,0,0,67
43,510351130,0,5,0,0,0,77,11,0,0,5,0,15,43,10,0,0,169
44,510351133,9,3,0,0,0,77,5,0,0,0,3,14,65,28,0,0,209
45,510351135,0,15,0,0,0,130,26,0,0,27,3,62,9,24,0,0,297
46,510351137,6,8,0,0,0,74,5,0,0,3,0,15,104,18,4,0,231
47,510351140,0,3,0,0,0,58,7,0,0,0,0,7,68,10,0,0,153
48,510351151,0,0,0,0,0,34,6,0,0,0,0,7,76,5,0,0,125
49,510351154,0,0,0,0,0,58,0,0,0,6,0,9,162,16,0,0,260
50,510361068,0,3,0,0,0,56,8,0,0,3,0,0,91,21,0,0,190
51,510361089,3,3,0,0,0,95,3,0,4,13,0,44,137,25,0,0,331
52,510361113,0,0,0,0,0,45,3,0,0,0,0,3,14,0,0,0,71
53,510361127,0,0,0,0,0,52,3,0,0,0,0,0,5,7,0,0,82
54,510371082,0,0,0,0,0,15,0,0,0,5,0,0,0,0,0,0,21
55,510381004,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,17
56,510381006,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
57,510381010,0,0,0,0,0,25,0,0,0,0,0,0,0,4,0,0,22
58,510381011,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,12
59,510381020,0,0,0,0,0,20,3,0,0,0,0,0,0,3,0,0,31
60,510381026,3,0,0,0,0,17,5,0,0,0,0,0,0,3,0,0,29
61,510391012,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
62,510391017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
65,510391383,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,9
66,510391384,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
67,510391389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
68,510391394,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9
69,510391397,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
70,510401002,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
71,510401003,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4
72,510401008,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,8
73,510401009,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
74,510401013,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
75,510420001,3,4,0,0,0,88,13,0,0,0,0,0,9,6,0,0,128
76,510421040,0,0,0,0,0,23,0,0,0,0,0,0,0,5,0,0,35
77,510421042,0,0,0,0,0,26,0,0,0,0,0,0,0,8,0,0,38
78,510421043,0,0,0,0,0,41,0,0,0,0,0,0,0,4,0,0,50
79,510421046,0,4,0,0,0,83,6,0,0,0,0,0,14,11,0,0,121
80,510421059,3,0,0,0,0,21,5,0,0,0,0,0,0,3,0,0,33
81,510421060,0,0,0,0,0,38,0,0,0,6,0,3,3,13,0,0,72
82,510421072,0,4,0,0,0,74,0,0,0,0,0,0,3,11,0,0,93
83,510421074,0,0,0,0,0,65,0,0,0,0,0,0,5,10,0,0,80
84,510421110,0,0,0,0,0,28,4,0,0,4,0,0,0,10,0,0,51
