,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,510252136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,510252141,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,4
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510292173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9
24,510301014,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14
25,510311126,3,3,0,0,0,10,5,0,0,0,0,0,0,7,0,0,28
26,510311132,14,24,0,0,0,39,3,0,0,0,0,4,0,31,0,0,128
27,510311143,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,24
28,510311144,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
29,510311149,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,25
30,510321145,3,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,19
31,510321147,3,5,0,0,0,19,0,0,0,0,0,0,0,9,0,0,37
32,510321161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,510331015,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,18
34,510331019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,510341158,4,3,0,0,0,8,3,0,0,0,0,0,0,0,0,0,16
37,510341163,0,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,26
38,510341165,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,9
39,510341168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,510351121,0,11,0,0,0,25,0,0,0,0,0,6,0,9,0,0,58
41,510351122,3,104,0,0,5,111,19,0,6,8,0,56,4,47,0,0,367
42,510351129,5,7,0,0,0,27,4,0,0,0,3,51,90,20,0,0,207
43,510351130,0,8,0,0,0,18,5,0,0,6,0,9,0,12,0,0,64
44,510351133,0,6,0,0,0,22,0,0,0,0,0,0,0,4,0,0,29
45,510351135,3,46,0,0,0,78,6,0,5,35,0,165,48,24,0,0,410
46,510351137,0,8,0,0,0,27,0,0,0,0,0,13,4,3,0,0,60
47,510351140,0,7,0,0,0,16,3,0,0,0,0,0,3,3,0,0,27
48,510351151,0,4,0,0,0,14,0,0,0,0,0,0,0,3,0,0,26
49,510351154,0,0,0,0,0,12,0,0,0,4,0,0,6,3,0,0,22
50,510361068,0,0,0,0,0,24,0,0,0,0,0,0,0,3,0,0,35
51,510361089,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,10
52,510361113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,510361127,3,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,16
54,510371082,0,3,0,0,0,14,4,0,0,0,0,7,3,7,0,0,42
55,510381004,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13
56,510381006,0,6,0,0,0,9,0,0,0,0,0,0,0,4,0,0,23
57,510381010,5,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,24
58,510381011,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
59,510381020,14,7,0,0,0,15,0,0,0,0,0,5,5,4,0,0,48
60,510381026,10,6,0,0,0,17,6,0,0,0,0,3,3,3,0,0,50
61,510391012,5,11,0,0,0,8,0,0,0,0,0,0,0,0,0,0,27
62,510391017,0,9,0,0,0,8,0,0,0,0,0,0,0,4,0,0,20
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15
65,510391383,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,18
66,510391384,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13
67,510391389,0,6,0,0,0,3,0,0,0,0,0,0,0,8,0,0,11
68,510391394,0,7,0,0,3,8,4,0,0,0,0,0,0,0,0,0,20
69,510391397,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,14
70,510401002,0,3,0,0,0,8,4,0,0,0,0,0,0,0,0,0,12
71,510401003,0,4,0,0,0,3,0,0,0,0,0,0,0,4,0,0,10
72,510401008,0,4,0,0,0,6,0,0,0,0,0,0,0,3,0,0,14
73,510401009,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12
74,510401013,0,5,0,0,0,11,0,0,0,0,0,0,0,5,4,0,27
75,510420001,13,11,0,0,0,59,0,0,0,0,0,0,6,8,0,0,106
76,510421040,9,0,0,0,0,16,5,0,0,0,0,0,0,8,0,0,34
77,510421042,4,4,0,0,0,22,0,0,0,0,0,4,0,4,0,0,37
78,510421043,0,0,0,0,4,16,0,0,0,0,0,8,5,0,0,0,34
79,510421046,17,21,0,0,0,46,5,0,0,5,0,6,16,7,0,0,128
80,510421059,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,10
81,510421060,3,3,0,0,0,29,0,0,0,0,0,0,0,5,0,0,43
82,510421072,13,6,0,0,0,35,10,0,0,0,0,5,0,4,0,0,74
83,510421074,0,4,0,0,0,34,4,0,0,0,0,0,0,3,0,0,50
84,510421110,3,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,14
