,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,12
1,510222145,0,0,0,0,0,82,0,0,0,0,0,0,3,25,0,0,117
2,510232133,6,0,0,0,0,259,9,0,0,0,0,0,0,45,4,0,319
3,510232134,4,0,0,0,0,116,3,0,0,0,0,0,0,22,4,0,149
4,510232135,17,3,0,0,0,277,12,0,0,0,0,6,3,37,0,0,356
5,510242137,0,0,0,0,0,152,8,0,0,0,0,0,0,40,0,0,207
6,510242143,0,0,0,0,0,31,5,0,0,0,0,0,0,3,0,0,42
7,510252132,10,0,0,0,0,316,6,0,0,4,0,0,0,40,3,0,379
8,510252136,4,3,0,0,0,148,7,0,0,0,0,0,0,33,0,0,199
9,510252138,7,0,0,0,0,169,3,0,0,0,0,0,3,15,0,0,207
10,510252139,9,0,0,0,0,99,8,0,0,0,0,0,0,13,0,0,135
11,510252140,3,0,0,0,0,196,3,0,0,0,0,0,5,20,6,0,234
12,510252141,27,3,0,0,0,248,14,0,0,0,0,0,4,74,0,0,369
13,510252147,8,0,0,0,0,261,6,0,0,0,0,0,3,54,0,0,334
14,510262172,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,24
15,510262174,0,0,0,0,0,18,0,0,0,0,0,0,0,4,0,0,25
16,510272130,8,14,0,0,0,458,37,0,0,0,0,0,4,95,5,0,623
17,510282142,0,0,0,0,0,28,0,0,0,0,0,0,0,4,0,0,39
18,510282144,3,4,0,0,0,115,0,0,0,0,0,0,0,12,0,0,136
19,510292171,0,0,0,0,0,152,5,0,0,0,0,0,6,36,0,0,199
20,510292173,3,0,0,0,0,174,6,0,0,0,0,0,3,44,0,0,241
21,510292175,0,0,0,0,0,58,0,0,0,0,0,0,0,9,0,0,71
22,510292177,0,0,0,0,0,59,6,0,0,0,0,0,0,8,0,0,77
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,510301014,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
25,510311126,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
26,510311132,0,0,0,0,0,16,0,0,0,0,0,0,0,7,0,0,23
27,510311143,5,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,13
28,510311144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,510311149,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3
30,510321145,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13
31,510321147,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,20
32,510321161,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8
33,510331015,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
