,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
2,510232133,0,0,0,0,0,12,0,0,0,0,0,0,0,7,0,0,16
3,510232134,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
4,510232135,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
5,510242137,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
7,510252132,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,20
8,510252136,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5
9,510252138,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
10,510252139,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
11,510252140,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
12,510252141,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,11
13,510252147,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
16,510272130,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
19,510292171,0,0,0,0,0,26,4,0,0,0,0,0,0,8,0,0,37
20,510292173,0,0,0,0,0,32,0,0,0,0,0,0,0,4,0,0,37
21,510292175,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,19
22,510292177,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,13
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,510301014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,510311126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,510311132,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10
27,510311143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,510311144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,510311149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,510321145,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
31,510321147,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
32,510321161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,510331015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,510331019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,510341158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,510341163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,510341165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,510341168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,510351121,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12
41,510351122,4,0,0,0,0,27,0,0,0,0,0,0,0,8,0,0,37
42,510351129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,510351130,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
44,510351133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,510351135,0,0,0,0,0,7,0,0,0,0,0,0,3,3,0,0,13
46,510351137,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
47,510351140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,510351151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,510351154,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
50,510361068,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,15
