,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,510232133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
4,510232135,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
5,510242137,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
8,510252136,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,510252147,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
20,510292173,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6
21,510292175,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3
24,510301014,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10
25,510311126,0,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,27
26,510311132,0,5,0,0,0,55,0,0,0,0,0,0,3,7,0,0,80
27,510311143,0,0,0,0,0,34,0,0,0,0,0,0,0,6,0,0,41
28,510311144,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
29,510311149,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,24
30,510321145,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,16
31,510321147,0,0,0,0,0,29,0,0,0,0,0,0,0,3,0,0,35
32,510321161,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,8
33,510331015,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9
34,510331019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
36,510341158,0,0,0,0,0,25,0,0,0,0,0,0,3,4,0,0,25
37,510341163,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,30
38,510341165,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,19
39,510341168,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
40,510351121,0,0,0,0,0,51,0,0,0,0,0,0,0,12,0,0,68
41,510351122,3,37,0,0,0,239,13,0,0,8,0,0,5,67,0,0,387
42,510351129,0,0,0,0,0,20,0,0,0,0,0,0,0,4,0,0,22
43,510351130,0,0,0,0,0,29,0,0,0,0,0,0,7,9,0,0,42
44,510351133,0,0,0,0,0,34,0,0,0,0,0,0,3,0,0,0,38
45,510351135,0,11,0,0,0,89,13,0,0,10,0,0,11,21,0,0,161
46,510351137,0,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,36
47,510351140,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,14
48,510351151,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7
49,510351154,0,0,0,0,0,25,6,0,0,0,0,0,0,0,0,0,21
50,510361068,0,0,0,0,0,27,0,0,0,0,0,0,0,8,0,0,41
51,510361089,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8
52,510361113,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,14
53,510361127,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
54,510371082,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,19
55,510381004,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13
56,510381006,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,20
57,510381010,6,0,0,0,0,23,0,0,0,0,0,0,4,3,0,0,44
58,510381011,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
59,510381020,4,0,0,0,4,42,6,0,0,0,0,0,0,3,0,0,54
60,510381026,13,0,0,0,0,28,0,0,0,0,0,0,6,9,3,0,68
61,510391012,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,16
62,510391017,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,16
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,24
65,510391383,0,0,0,0,0,10,4,0,0,0,0,0,3,0,0,0,21
66,510391384,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
67,510391389,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7
