,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
1,510222145,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
2,510232133,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,14
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4,510232135,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
5,510242137,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
7,510252132,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7
8,510252136,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
9,510252138,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
11,510252140,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
12,510252141,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
13,510252147,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
19,510292171,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
20,510292173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
23,510301001,0,4,0,0,0,80,11,0,0,0,0,0,5,36,0,0,138
24,510301014,0,0,0,0,0,142,9,3,0,0,0,0,0,29,0,0,193
25,510311126,0,0,0,0,0,92,6,0,0,0,0,0,0,12,0,0,116
26,510311132,29,6,0,0,3,292,18,0,0,0,0,0,6,57,0,0,412
27,510311143,3,4,0,0,0,162,16,0,0,0,0,0,3,27,0,0,209
28,510311144,0,0,0,0,0,38,0,0,0,0,0,0,0,9,0,0,52
29,510311149,0,0,0,0,0,94,0,0,0,0,0,0,0,8,0,0,104
30,510321145,5,0,0,0,0,65,3,3,0,0,0,0,5,7,0,0,88
31,510321147,7,0,0,0,0,166,6,0,0,0,0,0,8,19,0,0,215
32,510321161,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,31
33,510331015,8,11,0,0,0,237,20,0,0,0,0,5,3,50,0,0,344
34,510331019,0,4,0,0,0,68,4,0,0,0,0,0,7,14,0,0,94
35,510331049,0,0,0,0,0,32,0,0,0,0,0,0,0,3,0,0,40
36,510341158,0,0,0,0,0,109,9,0,0,0,0,0,4,9,0,0,123
37,510341163,0,0,0,0,0,114,0,0,0,0,0,0,3,17,0,0,140
38,510341165,3,0,0,0,0,63,0,0,0,0,0,0,0,3,0,0,70
39,510341168,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,18
40,510351121,0,10,0,0,0,335,5,0,0,4,0,0,10,71,3,0,438
41,510351122,27,207,0,0,6,1415,77,0,19,25,0,4,41,355,10,0,2182
42,510351129,7,3,0,0,0,64,3,0,0,0,0,0,4,11,0,0,96
43,510351130,6,21,0,0,0,166,13,0,0,0,0,0,5,25,0,0,240
44,510351133,4,4,0,0,0,104,12,0,0,4,0,0,3,9,0,0,142
45,510351135,3,38,0,0,0,429,34,0,3,17,0,0,52,48,3,0,625
46,510351137,0,5,0,0,0,116,5,0,0,4,0,0,11,13,0,0,140
47,510351140,0,3,0,0,0,50,6,0,0,0,0,0,4,5,0,0,72
48,510351151,0,0,0,0,0,24,0,0,0,0,0,0,4,0,0,0,32
49,510351154,0,0,0,0,0,63,0,0,0,0,0,0,0,8,0,0,71
50,510361068,7,3,0,0,0,374,18,0,0,6,0,0,8,52,0,0,465
51,510361089,3,0,0,0,0,145,5,0,0,0,0,0,7,11,0,0,172
52,510361113,0,0,0,0,0,76,0,0,0,0,0,0,0,9,0,0,92
53,510361127,0,0,0,0,0,84,0,0,0,3,0,0,0,11,0,0,104
