,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,510252136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510292173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
24,510301014,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,8
25,510311126,4,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,20
26,510311132,23,0,0,0,5,44,9,0,0,0,0,0,0,8,0,0,87
27,510311143,0,0,0,0,0,26,5,0,0,0,0,0,4,0,0,0,40
28,510311144,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8
29,510311149,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,30
30,510321145,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,20
31,510321147,5,0,0,0,0,41,0,0,0,0,0,0,0,4,0,0,47
32,510321161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,510331015,0,6,0,0,0,20,3,0,0,0,0,0,0,3,0,0,35
34,510331019,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,14
35,510331049,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4
36,510341158,4,0,0,0,0,15,0,0,0,0,0,0,0,6,0,0,29
37,510341163,6,0,0,0,0,17,0,0,0,3,0,0,0,4,0,0,21
38,510341165,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8
39,510341168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
40,510351121,0,5,0,0,0,35,5,0,0,4,0,10,0,14,0,0,64
41,510351122,7,54,0,0,5,143,33,0,6,59,3,96,7,60,0,0,463
42,510351129,0,5,0,0,0,10,5,0,0,0,0,0,0,3,0,0,25
43,510351130,0,10,0,0,0,27,5,0,0,8,0,0,6,5,0,0,55
44,510351133,0,0,0,0,0,19,3,0,0,6,0,3,0,5,0,0,37
45,510351135,3,15,0,0,0,86,10,0,0,29,0,16,14,15,0,0,185
46,510351137,0,6,0,0,0,20,3,0,0,0,0,0,0,6,0,0,27
47,510351140,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,13
48,510351151,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,16
49,510351154,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8
50,510361068,0,3,0,0,0,55,0,0,4,0,0,0,3,12,0,0,72
51,510361089,0,0,0,0,0,27,0,0,0,0,0,0,0,5,0,0,35
52,510361113,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8
53,510361127,4,0,0,0,0,22,0,0,0,0,0,0,0,7,0,0,25
54,510371082,0,0,0,0,0,14,3,0,0,0,0,0,0,6,0,0,28
55,510381004,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13
56,510381006,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13
57,510381010,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,26
58,510381011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
59,510381020,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,25
60,510381026,6,0,0,0,0,8,7,0,0,0,0,3,0,0,0,0,31
61,510391012,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,9
62,510391017,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,510391383,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11
66,510391384,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
67,510391389,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
68,510391394,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,9
69,510391397,4,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,10
70,510401002,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7
71,510401003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,510401008,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
73,510401009,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
74,510401013,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7
75,510420001,4,3,0,0,0,76,7,0,0,8,0,45,97,23,0,0,265
76,510421040,4,0,0,0,0,15,7,0,0,3,0,22,13,18,0,0,80
77,510421042,0,5,0,0,0,40,0,0,0,0,0,22,23,0,0,0,93
78,510421043,0,3,0,0,0,22,8,0,0,0,0,24,15,0,0,0,72
79,510421046,4,8,0,0,0,78,3,0,0,3,9,97,35,21,0,0,253
80,510421059,0,0,0,0,0,31,3,0,0,3,0,18,57,9,0,0,122
81,510421060,0,0,0,0,0,46,7,0,0,0,0,6,4,10,0,0,68
82,510421072,0,9,0,0,0,84,8,0,0,16,3,74,120,31,0,0,349
83,510421074,0,4,0,0,0,60,9,0,0,3,0,38,71,25,0,0,201
84,510421110,0,8,0,0,4,78,11,0,0,0,3,47,157,33,0,0,345
