,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,510252136,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510292173,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,6,3,0,0,0,0,0,0,5,0,0,11
24,510301014,5,5,0,0,0,15,0,0,0,0,0,0,0,8,0,0,28
25,510311126,9,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,23
26,510311132,15,0,0,0,0,49,5,0,0,0,0,0,0,19,0,0,86
27,510311143,3,5,0,0,0,22,0,0,0,0,0,0,0,3,0,0,32
28,510311144,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
29,510311149,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,30
30,510321145,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,21
31,510321147,0,0,0,0,0,26,0,0,0,0,0,0,0,5,0,0,30
32,510321161,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
33,510331015,0,0,0,0,0,28,4,0,0,0,0,0,0,4,0,0,37
34,510331019,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,12
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,510341158,0,0,0,0,0,19,0,0,0,0,0,0,0,4,0,0,26
37,510341163,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,20
38,510341165,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13
39,510341168,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
40,510351121,0,0,0,0,0,48,3,0,0,0,0,0,6,7,0,0,65
41,510351122,11,73,0,0,7,251,29,0,7,26,0,4,14,65,0,0,487
42,510351129,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,23
43,510351130,0,6,0,0,0,29,6,0,0,4,0,0,0,4,0,0,49
44,510351133,0,0,0,0,0,21,0,0,0,0,0,0,3,4,0,0,29
45,510351135,4,23,0,0,0,104,11,0,0,12,0,4,14,17,0,0,194
46,510351137,0,3,0,0,0,24,0,0,0,0,0,0,0,9,0,0,44
47,510351140,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,12
48,510351151,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9
49,510351154,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
50,510361068,0,4,0,0,0,60,0,0,0,3,0,0,0,8,0,0,82
51,510361089,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,20
52,510361113,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,11
53,510361127,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,23
54,510371082,0,0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,30
55,510381004,0,5,0,0,0,119,23,0,0,0,0,48,95,43,0,0,336
56,510381006,3,8,0,0,0,108,4,0,0,0,3,24,129,33,0,0,321
57,510381010,4,4,0,0,5,92,7,0,0,0,0,40,46,15,0,0,213
58,510381011,0,6,0,0,0,46,4,0,0,3,0,19,29,10,0,0,110
59,510381020,11,5,0,0,6,54,13,0,0,10,5,32,19,21,0,0,177
60,510381026,4,3,0,0,4,47,15,0,0,7,5,34,11,17,0,0,150
61,510391012,0,10,0,0,0,51,3,0,0,0,0,17,58,15,0,0,161
62,510391017,0,3,0,0,0,11,4,0,0,0,0,11,8,4,0,0,42
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
64,510391373,0,7,0,0,0,49,0,0,0,0,0,5,0,7,0,0,69
65,510391383,0,0,0,0,0,41,0,0,0,7,0,0,0,14,0,0,70
66,510391384,0,5,0,0,0,22,4,0,0,0,0,4,3,14,0,0,53
67,510391389,0,0,0,0,0,15,3,0,0,0,0,5,0,7,0,0,27
68,510391394,4,0,0,0,0,52,4,0,0,0,0,3,0,10,0,0,80
69,510391397,0,0,0,0,0,25,0,0,0,0,0,0,8,11,0,0,45
70,510401002,0,0,0,0,0,84,6,3,0,0,0,26,87,20,0,0,235
71,510401003,0,0,0,0,0,42,11,0,0,0,0,12,55,13,0,0,130
72,510401008,0,5,0,0,3,43,0,0,0,0,0,16,32,16,0,0,113
73,510401009,0,3,0,0,0,58,0,0,0,0,3,14,58,20,0,0,160
74,510401013,0,5,0,0,0,68,7,0,0,0,0,26,36,21,0,0,162
75,510420001,12,3,0,0,5,127,6,0,0,7,0,0,8,17,0,0,180
76,510421040,8,0,0,0,0,27,0,0,0,0,0,5,0,5,0,0,50
77,510421042,0,4,0,0,0,41,0,0,0,0,0,0,4,8,0,0,67
78,510421043,0,3,0,0,0,41,0,0,0,0,0,0,0,9,0,0,60
79,510421046,25,0,0,0,4,122,3,0,0,9,3,0,22,12,0,0,203
80,510421059,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,15
81,510421060,6,0,0,0,0,36,7,0,0,0,0,0,0,7,0,0,61
82,510421072,7,4,0,0,0,75,4,0,0,5,0,0,0,26,0,0,121
83,510421074,0,3,0,0,0,42,8,0,0,0,0,0,4,7,0,0,69
84,510421110,5,3,0,0,0,34,0,0,0,0,0,0,3,3,0,0,46
