,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
2,510232133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
8,510252136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,510252141,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13,510252147,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
20,510292173,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20
24,510301014,0,0,0,0,0,34,0,0,0,0,0,0,0,5,0,0,38
25,510311126,3,0,0,0,0,21,0,0,0,0,0,0,0,9,0,0,37
26,510311132,18,0,0,0,0,51,3,0,0,0,0,0,0,12,0,0,86
27,510311143,0,0,0,0,0,44,0,0,0,0,0,0,0,6,0,0,50
28,510311144,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11
29,510311149,0,0,0,0,0,19,0,0,0,0,0,0,0,6,0,0,22
30,510321145,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,26
31,510321147,0,0,0,0,0,32,0,0,0,0,0,0,0,5,0,0,39
32,510321161,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,28
33,510331015,0,0,0,0,0,65,5,0,0,0,0,0,3,0,0,0,72
34,510331019,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,21
35,510331049,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16
36,510341158,5,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,27
37,510341163,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,27
