,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,6
1,Armadale,98,79,5,0,30,5194,591,84,31,55,315,81,991,957,88,0,8610
2,Ashburton,0,134,0,0,0,32,20,0,0,0,16,45,0,70,11,0,337
3,Augusta-Margaret River,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
4,Bassendean,0,0,0,0,0,130,0,3,0,0,0,0,0,11,0,0,146
5,Bayswater,7,0,0,0,0,273,11,0,0,0,0,0,0,21,3,0,326
6,Belmont,34,17,0,0,0,1691,58,16,19,0,0,15,6,141,15,0,2034
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,3,0,0,0,36,3,0,0,0,0,0,0,19,3,0,70
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,8
16,Busselton,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,4
17,Cambridge,28,0,0,0,0,101,5,6,0,0,0,0,0,20,0,0,159
18,Canning,94,26,0,0,3,3653,206,38,23,3,3,22,3,305,42,0,4429
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
24,Claremont,16,0,0,0,0,52,0,0,0,0,0,0,0,5,0,0,72
25,Cockburn,14,24,0,0,0,1874,73,17,9,0,0,11,7,165,22,0,2230
26,Collie,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,6
27,Coolgardie,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,15
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
36,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,9
44,East Fremantle,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,16
45,East Pilbara,0,58,0,0,0,34,17,0,0,0,8,35,0,77,5,0,241
46,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7
48,Fremantle,16,5,0,0,0,541,24,3,0,0,0,0,0,64,9,0,670
49,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gosnells,84,12,0,0,7,2441,146,18,16,10,8,5,6,297,20,0,3072
53,Greater Geraldton,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,12
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
55,Harvey,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10
56,Irwin,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Joondalup,12,0,0,0,0,71,5,0,0,0,6,0,5,6,4,0,94
59,Kalamunda,0,0,0,0,0,679,27,9,0,0,0,3,0,61,8,0,786
60,Kalgoorlie,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,24
61,Karratha,0,8,0,0,0,17,12,0,0,0,5,4,0,23,0,0,66
62,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
67,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Kwinana,0,0,0,0,0,380,13,3,4,0,0,0,0,31,11,0,434
70,Lake Grace,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
71,Laverton,0,11,0,0,0,10,0,0,0,0,4,6,0,23,0,0,63
72,Leonora,0,14,0,0,0,6,0,0,0,0,0,13,0,14,0,0,57
73,Mandurah,5,0,0,0,0,74,0,3,4,0,0,0,0,7,6,0,92
74,Manjimup,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6
75,Meekatharra,0,3,0,0,0,0,0,0,0,0,0,6,0,5,0,0,22
76,Melville,25,17,0,0,0,1076,51,7,0,6,0,3,6,161,13,0,1366
77,Menzies,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20
78,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
81,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Mosman Park,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,24
83,Mount Magnet,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
84,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mundaring,0,0,0,0,0,97,6,0,0,0,0,0,0,10,0,0,117
87,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Murray,0,0,0,0,0,31,4,0,0,0,0,0,3,9,0,0,42
89,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Narrogin,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4
92,Nedlands,34,0,0,0,0,260,13,0,0,0,0,0,0,38,0,0,348
93,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Northam,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,22
95,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Peppermint Grove,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10
98,Perenjori,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10
99,Perth,1485,44,0,0,5,896,97,0,17,16,4,27,31,248,34,0,2901
100,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Port Hedland,0,7,0,0,0,18,3,0,0,0,0,3,0,17,5,0,47
103,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Ravensthorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
105,Rockingham,6,0,0,0,0,313,10,5,0,0,0,3,0,33,0,0,374
106,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Serpentine-Jarrahdale,6,0,0,0,0,336,17,3,0,0,0,0,0,49,9,0,436
108,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,South Perth,13,0,0,0,0,299,14,0,0,0,0,0,0,37,4,0,362
110,Stirling,70,0,0,0,0,626,23,0,4,0,4,0,3,70,6,0,805
111,Subiaco,82,0,0,0,0,237,9,0,0,0,0,4,3,64,5,0,410
112,Swan,18,8,0,0,0,894,31,10,8,0,0,11,3,77,7,0,1067
113,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Toodyay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Victoria Park,44,15,0,0,6,861,43,6,9,4,0,9,6,122,5,0,1119
119,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Vincent,64,0,0,0,0,242,8,0,3,0,0,0,0,46,3,0,373
121,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Wandering,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
123,Wanneroo,7,0,0,0,0,131,0,3,4,0,0,4,0,5,0,0,151
124,Waroona,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
125,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Westonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
127,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Wiluna,0,5,0,0,0,0,3,0,0,0,0,0,0,5,0,0,20
130,Wongan-Ballidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Wyalkatchem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Wyndham-East Kimberley,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,10
134,Yalgoo,0,3,0,0,0,0,4,0,0,0,0,0,0,7,0,0,16
135,Yilgarn,0,15,0,0,0,4,0,0,0,0,0,0,0,12,0,0,35
