,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Armadale,6,0,0,0,0,96,4,0,0,0,0,0,0,13,0,0,117
2,Ashburton,0,85,0,0,0,28,13,0,0,0,19,25,0,41,10,0,222
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,8,12,0,0,0,416,36,0,9,12,5,3,0,32,5,0,556
5,Bayswater,48,174,0,0,25,3068,339,51,20,68,286,70,871,538,56,0,5610
6,Belmont,13,45,0,0,6,1404,60,7,5,23,4,13,3,149,12,0,1737
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,11,3,0,0,0,0,0,0,5,0,0,17
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Cambridge,65,14,0,0,0,341,24,0,5,12,3,0,0,42,4,0,504
18,Canning,28,8,0,0,0,941,33,10,8,7,0,6,4,68,10,0,1123
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,9
24,Claremont,41,0,0,0,0,108,11,0,0,0,0,0,0,17,0,0,181
25,Cockburn,8,4,0,0,0,318,9,3,0,3,0,0,3,28,0,0,382
26,Collie,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
