,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
1,Armadale,9,0,0,0,0,104,3,0,0,0,0,0,0,12,3,0,133
2,Ashburton,0,71,0,0,0,17,13,0,0,0,13,25,0,45,8,0,198
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,Bassendean,6,3,0,0,0,140,5,0,0,0,0,0,0,3,0,0,160
5,Bayswater,3,21,0,0,4,326,24,3,4,0,0,3,4,64,4,0,451
6,Belmont,3,161,0,0,34,2587,250,31,18,69,230,32,393,400,41,0,4261
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,13
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
12,Broome,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,14
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
17,Cambridge,13,6,0,0,0,139,12,0,0,0,0,0,0,14,0,0,181
18,Canning,28,27,0,0,8,1144,68,7,11,11,5,6,9,78,14,0,1421
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Claremont,7,0,0,0,0,56,0,0,0,0,0,0,0,12,0,0,80
25,Cockburn,14,9,0,0,0,320,19,0,5,0,0,0,0,16,0,0,386
26,Collie,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
27,Coolgardie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
28,Coorow,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
29,Corrigin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
30,Cottesloe,0,3,0,0,0,22,0,0,0,0,0,0,0,3,0,0,29
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
40,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
44,East Fremantle,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10
45,East Pilbara,0,62,0,0,0,25,26,0,0,0,20,23,0,40,6,0,195
46,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Fremantle,19,4,0,0,0,169,10,0,0,0,0,0,0,23,4,0,229
49,Gingin,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gosnells,0,0,0,0,0,312,8,0,0,0,0,0,0,23,0,0,361
53,Greater Geraldton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Harvey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Joondalup,9,3,0,0,0,138,3,0,0,0,0,0,0,20,0,0,179
59,Kalamunda,0,4,0,0,0,252,19,0,0,0,0,0,0,15,3,0,291
60,Kalgoorlie,0,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,17
61,Karratha,0,12,0,0,0,7,3,0,0,0,0,4,0,9,0,0,38
62,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
67,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Kwinana,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,58
70,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Laverton,0,6,0,0,0,8,0,0,0,0,6,7,0,9,0,0,43
72,Leonora,0,7,0,0,0,6,5,0,0,0,3,7,0,12,0,0,31
73,Mandurah,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,20
74,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Meekatharra,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
76,Melville,6,12,0,0,0,368,20,4,0,4,0,4,0,31,11,0,467
77,Menzies,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,7
78,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Mosman Park,0,0,0,0,0,26,0,0,0,0,0,0,0,3,0,0,32
83,Mount Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
84,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mundaring,0,0,0,0,0,65,7,0,0,0,0,0,0,10,0,0,80
87,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Murray,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5
89,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Narrogin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Nedlands,6,22,0,0,0,287,11,0,0,0,0,0,0,28,5,0,374
93,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Northam,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9
95,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Peppermint Grove,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,10
98,Perenjori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
99,Perth,296,863,0,0,12,1125,206,0,29,62,6,22,20,236,24,0,2901
100,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Port Hedland,0,3,0,0,0,14,3,0,0,0,0,7,0,14,9,0,42
103,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Ravensthorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
105,Rockingham,0,3,0,0,0,28,0,0,0,0,0,0,0,4,0,0,42
106,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Serpentine-Jarrahdale,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,16
108,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,South Perth,0,16,0,0,0,260,12,5,0,4,0,0,0,15,6,0,325
110,Stirling,27,22,0,0,4,778,33,9,4,3,5,3,3,70,9,0,959
111,Subiaco,28,15,0,0,0,333,22,0,6,8,0,0,0,41,0,0,460
112,Swan,8,20,0,0,6,785,34,9,4,4,0,12,0,69,14,0,966
113,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Toodyay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Victoria Park,9,94,0,0,13,991,86,0,14,24,18,5,3,105,10,0,1369
119,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9
120,Vincent,16,17,0,0,0,331,26,3,7,11,0,0,4,32,4,0,444
121,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Wanneroo,4,0,0,0,0,175,3,5,0,0,0,0,0,12,0,0,196
124,Waroona,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
125,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
