,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
1,Armadale,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
2,Ashburton,0,73,0,0,0,29,16,0,0,0,4,21,0,69,8,0,218
3,Augusta-Margaret River,0,0,0,0,0,353,32,0,0,0,0,0,0,44,5,0,450
4,Bassendean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bayswater,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
6,Belmont,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,27
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,8,0,0,0,16,6,0,0,0,0,0,0,9,0,0,38
9,Boyup Brook,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7
10,Bridgetown-Greenbushes,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,3,619,30,5,0,0,0,3,6,93,5,0,766
16,Busselton,3,26,4,4,25,8085,637,71,45,234,384,74,989,1304,135,0,12002
17,Cambridge,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
18,Canning,0,0,0,0,0,14,0,0,0,0,0,0,4,6,0,0,27
19,Capel,0,0,0,0,0,179,10,3,0,0,0,0,3,32,3,0,231
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21,Carnarvon,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,12
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
24,Claremont,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,10
25,Cockburn,0,0,0,0,0,11,0,0,0,0,0,0,3,4,0,0,26
26,Collie,0,0,0,0,0,21,5,0,0,0,0,0,0,11,0,0,35
27,Coolgardie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7
37,Dardanup,0,0,0,0,0,42,0,0,0,0,0,0,0,7,0,0,57
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
40,Donnybrook-Balingup,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,15
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
43,Dundas,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
44,East Fremantle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,East Pilbara,0,79,0,0,0,21,13,5,0,0,10,29,0,67,15,0,241
46,Esperance,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
47,Exmouth,0,0,0,0,0,0,3,0,0,0,5,0,0,4,0,0,11
48,Fremantle,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,17
49,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
