,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Armadale,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,25
2,Ashburton,0,21,0,0,0,5,0,0,0,0,0,4,0,14,0,0,50
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,23
5,Bayswater,3,0,0,0,0,87,3,0,0,4,0,0,0,11,0,0,118
6,Belmont,0,4,0,0,0,243,9,0,0,4,0,0,0,23,4,0,290
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Busselton,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
17,Cambridge,4,31,0,0,10,879,80,11,0,40,210,28,767,227,24,0,2316
18,Canning,7,0,0,0,0,176,3,0,0,0,0,0,8,15,6,0,213
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Claremont,13,0,0,0,0,188,10,0,0,6,0,0,3,42,0,0,263
25,Cockburn,3,0,0,0,0,131,7,0,0,4,0,0,4,0,0,0,151
26,Collie,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
27,Coolgardie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4
30,Cottesloe,4,0,0,0,0,49,0,0,0,0,0,0,3,5,0,0,60
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dardanup,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,East Fremantle,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,10
45,East Pilbara,0,3,0,0,0,10,0,0,0,0,0,0,3,11,0,0,22
46,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Fremantle,21,0,0,0,0,144,3,0,0,3,0,0,3,16,4,0,197
49,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gosnells,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,35
53,Greater Geraldton,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Harvey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
56,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Joondalup,12,0,0,0,0,245,9,0,0,0,0,0,5,17,0,0,288
59,Kalamunda,0,0,0,0,0,29,0,0,0,0,0,0,0,4,0,0,35
60,Kalgoorlie,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,5
61,Karratha,0,4,0,0,0,5,4,0,0,0,0,0,0,0,0,0,11
62,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Kwinana,0,0,0,0,0,23,0,0,0,0,0,0,0,3,0,0,29
70,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Laverton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
72,Leonora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Mandurah,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
74,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Meekatharra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
76,Melville,17,0,0,0,0,202,3,0,0,4,0,0,0,25,3,0,252
77,Menzies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Mosman Park,0,0,0,0,0,41,0,0,0,0,0,0,0,4,0,0,48
83,Mount Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mundaring,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,13
87,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Narrogin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Nedlands,13,22,0,0,3,567,26,0,8,23,5,4,7,90,10,0,786
93,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Northam,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
95,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Peppermint Grove,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,42
98,Perenjori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Perth,300,652,0,0,16,1435,151,0,37,245,87,18,32,238,20,0,3232
100,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Port Hedland,0,0,0,0,0,4,5,0,0,0,0,0,0,3,0,0,17
103,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Ravensthorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Rockingham,0,0,0,0,0,24,0,0,0,0,0,0,0,6,0,0,32
106,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Serpentine-Jarrahdale,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
108,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,South Perth,0,3,0,0,0,107,0,0,0,3,0,0,4,9,0,0,128
110,Stirling,18,22,0,0,5,1042,57,3,5,18,17,3,7,154,11,0,1365
111,Subiaco,9,58,0,0,5,794,71,0,5,58,112,8,13,144,11,0,1286
112,Swan,7,3,0,0,0,143,4,0,0,4,0,0,0,13,0,0,178
113,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Three Springs,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
115,Toodyay,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,6
116,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Victoria Park,10,6,0,0,0,193,7,0,3,0,0,0,5,14,0,0,243
119,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
