,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1,Armadale,23,11,0,0,0,573,37,6,5,0,0,0,4,81,4,0,742
2,Ashburton,0,108,0,0,0,13,10,0,0,0,15,39,0,56,4,0,252
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,0,0,0,0,0,120,7,0,0,0,0,5,0,7,0,0,141
5,Bayswater,23,5,0,0,0,314,16,0,0,0,0,4,0,26,3,0,387
6,Belmont,36,47,3,0,8,1790,84,13,4,10,3,18,0,166,18,0,2200
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,26
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14
16,Busselton,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,7
17,Cambridge,46,0,0,0,0,216,13,0,3,0,0,0,0,40,8,0,334
18,Canning,83,286,3,0,17,6777,574,71,27,132,399,113,1118,996,90,0,10706
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3
24,Claremont,25,3,0,0,0,129,0,0,0,0,0,0,0,17,0,0,175
25,Cockburn,33,16,0,0,5,1564,65,3,5,5,0,8,10,124,20,0,1867
26,Collie,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
27,Coolgardie,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,8,0,0,0,0,37,4,0,0,0,0,0,0,9,0,0,55
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
40,Donnybrook-Balingup,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
