,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
1,Armadale,3,0,0,0,0,625,36,0,3,4,0,5,0,69,6,0,742
2,Ashburton,0,256,0,0,0,34,14,6,0,0,33,71,0,118,11,0,553
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,6,0,0,0,0,79,0,0,0,0,0,0,0,3,0,0,90
5,Bayswater,10,0,0,0,0,199,10,0,0,0,4,0,3,20,0,0,245
6,Belmont,11,3,0,0,0,1188,18,3,10,3,3,10,0,89,12,0,1360
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,7,0,0,0,24,3,0,0,0,0,0,0,15,0,0,50
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,10
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
15,Bunbury,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,21
16,Busselton,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12
17,Cambridge,61,0,0,0,0,236,7,0,3,0,0,0,4,41,0,0,354
18,Canning,44,25,0,0,3,2547,88,17,16,7,0,13,8,220,19,0,3011
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Claremont,8,3,0,0,0,211,7,0,0,0,0,0,0,31,4,0,266
25,Cockburn,67,257,19,4,25,9547,897,137,45,127,410,105,1444,1298,147,0,14528
26,Collie,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4
27,Coolgardie,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,0,0,0,0,0,99,3,0,0,0,0,0,0,22,0,0,126
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
