,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Armadale,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,15
2,Ashburton,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,18
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bayswater,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11
6,Belmont,0,0,0,0,0,57,0,0,5,3,0,0,0,3,0,0,63
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Cambridge,3,0,0,0,0,35,0,0,0,0,0,0,0,5,0,0,38
18,Canning,0,0,0,0,0,95,3,0,0,0,0,0,0,11,3,0,119
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Claremont,0,0,0,0,0,46,0,0,0,0,0,0,0,9,0,0,62
25,Cockburn,0,0,0,0,0,171,3,0,3,0,4,0,6,13,3,0,212
26,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Coolgardie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,25
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,East Fremantle,3,6,0,0,0,153,10,3,0,7,46,4,232,39,3,0,508
45,East Pilbara,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,14
46,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Fremantle,0,26,0,0,0,366,32,0,3,25,31,9,5,70,0,0,583
49,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gosnells,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30
53,Greater Geraldton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Harvey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Joondalup,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,19
59,Kalamunda,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
60,Kalgoorlie,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
61,Karratha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
62,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Kwinana,0,0,0,0,0,42,0,0,0,0,0,0,0,3,0,0,51
70,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Laverton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
72,Leonora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
73,Mandurah,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
74,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
75,Meekatharra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Melville,0,14,0,0,4,371,11,0,3,6,7,0,5,63,0,0,491
77,Menzies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Mosman Park,0,0,0,0,0,40,0,0,0,0,0,0,0,7,0,0,53
83,Mount Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mundaring,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
87,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Murray,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,6
89,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Narrogin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Nedlands,0,8,0,0,0,93,0,0,0,3,0,0,0,11,0,0,120
93,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Northam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Peppermint Grove,0,0,0,0,0,23,4,0,0,0,0,0,0,3,0,0,28
98,Perenjori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Perth,110,60,0,0,4,243,18,0,3,26,4,3,9,31,4,0,523
100,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Port Hedland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
103,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Ravensthorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Rockingham,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,35
106,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Serpentine-Jarrahdale,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
108,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,South Perth,0,0,0,0,0,67,6,0,0,0,0,0,0,5,0,0,78
110,Stirling,3,0,0,0,0,87,4,0,0,0,0,0,0,8,0,0,103
111,Subiaco,22,4,0,0,0,109,8,0,0,0,0,0,5,14,0,0,160
112,Swan,3,0,0,0,0,23,0,0,0,0,0,4,0,0,0,0,25
113,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
