,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,Armadale,0,0,0,0,0,65,5,0,0,0,0,0,0,11,0,0,76
2,Ashburton,0,34,0,0,0,15,5,0,0,0,7,7,0,23,6,0,93
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,Bassendean,0,0,0,0,0,23,0,0,0,3,0,0,0,0,0,0,30
5,Bayswater,6,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,49
6,Belmont,0,0,0,0,0,188,5,0,6,6,0,0,0,28,0,0,245
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,8
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Cambridge,20,0,0,0,0,98,0,0,0,3,0,0,0,12,0,0,139
18,Canning,7,7,0,0,0,353,12,6,3,0,0,5,0,30,6,0,426
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Claremont,25,0,0,0,0,166,3,0,5,5,0,0,0,20,4,0,226
25,Cockburn,3,18,11,0,7,790,49,0,5,22,15,0,5,80,11,0,1010
26,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Coolgardie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
