,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,9
1,Armadale,62,16,0,0,4,1703,151,4,16,8,3,5,8,241,19,0,2252
2,Ashburton,0,172,0,0,0,28,20,0,0,0,31,53,0,100,9,0,417
3,Augusta-Margaret River,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
4,Bassendean,11,0,0,0,0,215,6,6,3,0,0,6,0,12,0,0,253
5,Bayswater,18,3,0,0,3,438,25,0,0,0,0,0,0,35,8,0,534
6,Belmont,62,33,0,0,9,2706,145,26,15,6,0,24,7,264,36,0,3331
7,Beverley,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
8,Boddington,0,8,0,0,0,18,0,0,0,0,0,0,0,14,0,0,40
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
11,Brookton,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
12,Broome,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,10
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
15,Bunbury,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,12
16,Busselton,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,20
17,Cambridge,42,0,0,0,0,232,11,0,0,3,0,3,0,28,4,0,324
18,Canning,153,220,0,0,20,7239,572,38,41,61,18,41,17,695,81,0,9204
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
24,Claremont,25,0,0,0,0,111,7,0,0,0,0,0,0,7,0,0,148
25,Cockburn,30,24,8,0,0,2166,114,14,9,4,5,4,4,150,28,0,2560
26,Collie,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
27,Coolgardie,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
30,Cottesloe,5,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,46
31,Cranbrook,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
40,Donnybrook-Balingup,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
44,East Fremantle,3,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,40
45,East Pilbara,0,87,0,0,4,44,29,4,0,4,12,49,0,78,5,0,310
46,Esperance,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Fremantle,13,19,0,0,0,788,43,0,3,0,3,0,0,83,11,0,969
49,Gingin,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gosnells,95,136,0,0,43,6361,687,140,28,90,360,140,1223,1012,111,0,10427
53,Greater Geraldton,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,16
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
55,Harvey,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10
56,Irwin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Joondalup,26,6,0,0,0,146,8,0,0,0,0,0,0,21,0,0,211
59,Kalamunda,4,0,0,4,0,873,37,12,6,0,0,0,5,74,8,0,1025
60,Kalgoorlie,0,4,0,0,0,13,0,4,0,0,3,3,0,9,0,0,42
61,Karratha,0,15,0,0,0,24,7,0,0,0,4,12,0,17,4,0,83
62,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
63,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kondinin,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12
67,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Kwinana,4,0,0,0,0,365,7,4,0,0,0,0,0,33,0,0,415
70,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Laverton,0,13,0,0,5,6,4,0,0,0,5,15,0,21,3,0,70
72,Leonora,0,18,0,0,3,12,3,0,0,0,0,13,0,11,0,0,62
73,Mandurah,0,0,0,0,0,87,0,0,0,0,0,0,0,6,0,0,97
74,Manjimup,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,10
75,Meekatharra,0,0,0,0,0,0,3,0,0,0,0,10,0,0,3,0,21
76,Melville,33,108,0,0,0,1785,100,8,5,0,0,5,6,253,27,0,2334
77,Menzies,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,15
78,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Mosman Park,4,0,0,0,0,55,3,0,0,0,0,0,0,4,0,0,66
