,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,12
1,Armadale,3,0,0,0,0,64,3,0,0,0,0,0,0,6,0,0,76
2,Ashburton,4,230,0,0,9,62,27,0,0,0,43,82,0,175,12,0,648
3,Augusta-Margaret River,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
4,Bassendean,3,0,0,0,0,249,5,0,0,0,0,0,3,20,0,0,290
5,Bayswater,18,8,0,0,0,761,13,6,0,3,0,8,3,72,3,0,900
6,Belmont,25,13,0,0,5,1645,23,6,19,0,0,7,4,157,13,0,1923
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,4,0,0,0,22,0,0,0,0,0,0,0,12,0,0,38
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
11,Brookton,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
12,Broome,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
16,Busselton,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13
17,Cambridge,117,3,0,0,3,926,24,5,9,8,0,0,9,156,10,0,1263
18,Canning,66,3,0,0,4,1180,34,18,13,0,0,13,3,63,18,0,1417
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,3,0,0,0,0,6,0,0,3,0,0,9
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,51,0,4,0,0,3,0,0,3,0,0,60
24,Claremont,20,0,0,0,0,289,10,0,0,5,0,5,0,40,8,0,377
25,Cockburn,45,7,19,0,0,553,25,3,3,0,0,7,5,49,9,0,726
26,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Coolgardie,0,9,0,0,0,5,0,0,0,0,5,4,0,4,0,0,20
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,0,0,0,0,0,91,0,0,0,0,0,0,0,13,3,0,114
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
36,Dandaragan,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11
40,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9
44,East Fremantle,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,0,30
45,East Pilbara,0,104,0,0,6,67,36,8,0,0,11,68,4,129,12,0,449
