,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
1,Armadale,3,4,0,0,0,350,15,3,0,0,0,3,6,44,0,0,433
2,Ashburton,0,99,0,0,0,10,14,0,0,4,12,36,0,85,9,0,274
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6
4,Bassendean,6,0,0,0,0,225,4,0,0,0,0,6,0,15,0,0,257
5,Bayswater,0,12,0,0,0,490,14,0,0,4,0,8,0,39,9,0,583
6,Belmont,3,51,0,0,12,1956,100,26,7,16,0,16,5,191,15,0,2399
7,Beverley,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,5
8,Boddington,0,5,0,0,0,18,0,0,0,0,0,0,0,9,0,0,34
9,Boyup Brook,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
15,Bunbury,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
16,Busselton,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
17,Cambridge,3,4,0,0,0,122,0,0,0,0,0,0,0,21,0,0,157
18,Canning,8,27,0,5,4,2273,101,29,7,6,3,8,8,202,11,0,2695
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,13
24,Claremont,4,0,0,0,0,45,0,0,0,0,0,0,0,3,0,0,46
25,Cockburn,0,0,0,0,0,471,24,0,0,0,0,5,0,30,0,0,540
26,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
27,Coolgardie,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,18
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
36,Dandaragan,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
39,Derby-West Kimberley,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
40,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
44,East Fremantle,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
45,East Pilbara,0,76,0,0,3,23,12,6,0,0,13,45,0,73,4,0,259
46,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Fremantle,5,4,0,0,0,161,6,0,0,0,0,0,7,19,5,0,201
49,Gingin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gosnells,5,6,0,0,0,921,51,8,3,5,0,6,5,77,0,0,1094
53,Greater Geraldton,0,0,0,0,0,4,0,0,0,0,0,0,5,3,0,0,11
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Harvey,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
56,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Joondalup,0,0,0,0,0,98,0,0,0,0,0,0,0,11,0,0,113
59,Kalamunda,11,60,0,0,3,3941,397,106,29,35,318,65,992,717,69,0,6764
60,Kalgoorlie,0,3,0,0,0,3,0,3,0,0,0,0,0,3,0,0,19
61,Karratha,0,16,0,0,0,19,4,0,0,0,9,3,0,21,0,0,68
62,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kondinin,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,7
67,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Kwinana,0,0,0,0,0,97,9,4,0,0,0,3,0,15,0,0,124
70,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Laverton,0,16,0,0,0,4,7,0,0,0,0,10,0,10,4,0,56
72,Leonora,0,9,0,0,0,9,10,0,0,0,0,3,0,11,0,0,46
73,Mandurah,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,19
74,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Meekatharra,0,5,0,0,0,0,0,0,0,0,0,10,0,5,0,0,31
76,Melville,5,0,0,0,0,392,17,0,0,0,0,0,0,40,0,0,469
77,Menzies,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
78,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Mosman Park,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14
83,Mount Magnet,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
84,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mundaring,0,6,0,0,0,369,13,0,0,0,0,5,0,40,0,0,437
87,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Murray,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13
89,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Narrogin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Nedlands,8,13,0,0,0,238,8,0,0,4,0,0,3,45,0,0,314
93,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Northam,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,26
95,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Peppermint Grove,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
98,Perenjori,0,3,0,0,0,4,0,0,0,0,0,4,0,3,0,0,7
99,Perth,418,358,4,0,0,1089,105,5,33,15,10,13,17,227,18,0,2311
100,Pingelly,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
101,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
102,Port Hedland,0,10,0,0,0,21,4,5,0,0,0,8,0,5,4,0,49
103,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Ravensthorpe,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
105,Rockingham,0,0,0,0,0,66,3,0,0,0,0,0,0,8,3,0,79
106,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Serpentine-Jarrahdale,0,0,0,0,0,49,0,0,0,0,0,0,0,6,0,0,63
108,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,South Perth,4,4,0,0,0,210,10,0,0,0,0,0,0,20,0,0,253
110,Stirling,15,7,0,0,0,674,25,3,3,0,0,0,7,87,6,0,830
111,Subiaco,23,6,0,0,0,264,14,0,0,3,0,0,0,40,3,0,349
112,Swan,8,30,0,0,4,2065,136,11,17,9,0,3,8,256,18,0,2564
113,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Toodyay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Victoria Park,3,35,0,0,0,866,32,0,4,0,0,4,14,88,0,0,1052
119,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Vincent,17,0,0,0,0,255,6,0,0,4,0,0,5,33,0,0,328
121,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Wanneroo,0,0,0,0,0,179,11,3,0,0,0,0,0,23,0,0,220
124,Waroona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Westonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
127,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Wiluna,0,5,0,0,0,0,6,0,0,0,0,8,0,0,0,0,21
130,Wongan-Ballidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Wyalkatchem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Wyndham-East Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12
134,Yalgoo,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9
135,Yilgarn,0,8,0,0,0,6,3,0,0,0,0,4,0,3,0,0,25
136,York,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
137,No Fixed Address (WA),4,36,0,0,3,813,62,76,4,0,9,33,22,164,18,0,1252
138,Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,4,13,0,4,0,0,17
139,Total,564,963,11,4,41,18954,1251,317,125,116,400,329,1110,2742,215,0,27134
