,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,4,0,4,0,0,4,0,0,5,0,0,11
1,Armadale,0,0,0,0,0,93,9,3,3,0,0,0,0,15,0,0,126
2,Ashburton,0,265,0,0,0,66,17,3,0,0,43,91,4,196,27,0,716
3,Augusta-Margaret River,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,10
4,Bassendean,0,0,0,0,0,14,4,0,0,0,0,0,0,3,0,0,22
5,Bayswater,9,0,0,0,0,31,0,0,0,0,0,0,0,7,0,0,47
6,Belmont,16,12,0,0,0,230,11,5,3,0,0,6,0,53,6,0,346
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,22,0,0,0,102,17,0,0,0,11,0,0,36,7,0,192
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,10
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,5,0,0,0,82,4,0,0,0,0,0,0,9,0,0,107
16,Busselton,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
17,Cambridge,21,0,0,0,0,24,0,0,0,0,4,0,0,5,0,0,52
18,Canning,33,0,0,0,0,416,24,9,0,0,0,4,4,42,5,0,543
19,Capel,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
