,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
1,Armadale,0,4,0,0,0,297,6,0,0,0,0,0,0,39,0,0,354
2,Ashburton,0,90,0,0,0,22,9,0,0,0,9,37,5,66,5,0,244
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4,Bassendean,7,0,0,0,0,68,0,0,0,0,0,0,0,5,0,0,83
5,Bayswater,5,0,0,0,0,224,15,0,0,0,0,0,0,19,0,0,271
6,Belmont,13,6,0,0,0,1118,34,3,0,5,0,3,9,107,13,0,1322
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,10,3,0,0,0,0,0,0,9,0,0,24
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,18
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,15
16,Busselton,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,16
17,Cambridge,33,8,0,0,0,293,10,0,0,4,0,0,0,49,3,0,400
18,Canning,21,43,0,0,3,2418,118,8,5,27,12,7,12,277,22,0,2980
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24,Claremont,19,7,0,0,0,336,9,0,0,0,0,0,0,36,0,0,417
25,Cockburn,36,33,7,0,7,2507,88,16,15,25,11,0,13,228,24,0,3010
26,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
27,Coolgardie,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,15
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,5,6,0,0,0,133,6,0,0,0,0,0,0,17,0,0,166
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Denmark,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10
40,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,East Fremantle,0,7,0,0,0,245,15,0,0,3,5,0,0,32,0,0,313
45,East Pilbara,0,26,0,0,0,19,18,0,0,0,4,18,0,47,6,0,150
46,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
47,Exmouth,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
48,Fremantle,16,210,0,0,8,2626,171,9,30,46,19,6,17,441,26,0,3632
49,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gosnells,11,12,0,0,0,555,21,0,0,3,0,0,6,65,3,0,683
53,Greater Geraldton,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,12
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
55,Harvey,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,16
56,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Joondalup,24,0,0,0,0,193,5,0,0,0,0,0,0,25,0,0,253
59,Kalamunda,0,0,0,0,0,205,3,0,0,0,0,0,0,11,4,0,238
60,Kalgoorlie,0,0,0,0,0,12,6,0,0,0,0,4,0,6,0,0,31
61,Karratha,0,10,0,0,0,26,10,0,0,0,0,15,4,28,3,0,95
62,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
67,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Kwinana,0,0,0,0,0,422,10,0,0,0,0,0,0,39,3,0,488
70,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
71,Laverton,0,4,0,0,0,5,6,0,0,0,0,3,0,14,0,0,33
72,Leonora,0,8,0,0,0,9,4,0,0,0,0,7,0,3,0,0,34
73,Mandurah,11,0,0,0,0,109,4,0,0,0,0,0,0,9,0,0,126
74,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Meekatharra,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12
76,Melville,88,275,0,6,15,7329,687,60,27,175,558,96,2165,1486,82,0,13055
77,Menzies,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,0,10
78,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
81,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Mosman Park,5,0,0,0,0,191,5,0,0,0,0,0,0,17,0,0,219
83,Mount Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
84,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mundaring,0,0,0,0,0,43,4,0,0,0,0,0,0,3,0,0,51
