,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,Armadale,0,0,0,0,0,72,0,0,0,0,0,0,0,5,0,0,78
2,Ashburton,0,54,0,0,0,19,12,4,0,0,6,20,0,52,0,0,170
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,4,0,0,0,0,204,13,4,0,0,0,0,0,23,3,0,247
5,Bayswater,3,0,0,0,0,313,6,0,4,0,0,5,0,41,5,0,382
6,Belmont,0,12,0,0,0,750,27,4,4,3,0,8,6,72,13,0,911
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,18
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Cambridge,13,0,0,0,0,68,0,0,0,0,0,0,0,3,0,0,83
18,Canning,3,0,0,0,0,722,27,12,0,0,0,4,0,43,8,0,822
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,9,4,0,0,0,0,0,0,3,0,0,17
24,Claremont,13,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,30
25,Cockburn,0,6,0,0,0,188,9,4,0,0,0,3,0,11,5,0,219
26,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Coolgardie,0,0,0,0,0,4,3,0,0,0,0,0,0,4,0,0,18
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8
44,East Fremantle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
45,East Pilbara,0,49,0,0,0,29,5,0,0,0,3,39,0,43,10,0,188
46,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
48,Fremantle,8,0,0,0,0,64,4,0,0,0,0,0,4,7,0,0,87
49,Gingin,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
52,Gosnells,0,0,0,0,0,254,5,0,0,0,0,0,0,18,0,0,292
53,Greater Geraldton,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,8
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
55,Harvey,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
56,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
58,Joondalup,6,0,0,0,0,87,0,0,0,0,0,0,3,17,0,0,114
59,Kalamunda,0,0,0,0,0,565,26,7,6,0,0,4,4,59,12,0,684
60,Kalgoorlie,0,0,0,0,0,10,4,0,0,0,0,7,0,4,0,0,20
61,Karratha,0,6,0,0,0,8,5,0,0,0,3,6,0,13,0,0,39
62,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11
67,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Kwinana,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,30
70,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Laverton,0,3,0,0,0,0,0,0,0,0,5,0,0,20,0,0,34
72,Leonora,0,11,0,0,0,0,8,0,0,0,0,11,0,16,0,0,38
73,Mandurah,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12
74,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Meekatharra,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,16
76,Melville,8,0,0,0,0,122,0,0,0,0,0,0,0,20,0,0,151
77,Menzies,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12
78,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Mosman Park,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
83,Mount Magnet,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
84,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mundaring,6,28,0,0,3,2577,248,97,12,15,187,34,841,465,50,0,4564
87,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
89,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Narrogin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Nedlands,12,0,0,0,0,122,0,0,0,5,0,0,4,23,0,0,170
93,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Northam,0,0,0,0,0,151,4,0,0,0,3,0,0,17,5,0,190
95,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Peppermint Grove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Perenjori,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12
99,Perth,558,22,0,0,0,639,36,5,11,12,7,13,15,140,12,0,1470
100,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Port Hedland,0,0,0,0,0,11,0,5,0,0,0,0,0,7,0,0,35
103,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
104,Ravensthorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
105,Rockingham,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,15
106,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Serpentine-Jarrahdale,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,20
108,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,South Perth,0,0,0,0,0,87,3,0,0,3,0,0,0,14,0,0,111
110,Stirling,6,0,0,0,0,469,9,0,5,0,5,0,0,39,4,0,539
111,Subiaco,43,0,0,0,0,165,3,0,6,0,0,0,9,34,0,0,258
112,Swan,16,57,0,0,6,2566,178,12,12,16,13,12,8,428,36,0,3356
113,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Toodyay,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
116,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Victoria Park,8,6,0,0,0,275,16,4,7,0,0,6,7,48,3,0,377
119,Victoria Plains,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
120,Vincent,14,0,0,0,0,147,9,0,0,0,0,0,6,15,0,0,197
121,Wagin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
122,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Wanneroo,0,0,0,0,0,143,0,0,0,0,0,0,0,6,0,0,157
124,Waroona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,West Arthur,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
126,Westonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
127,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Wiluna,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,16
130,Wongan-Ballidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Wyalkatchem,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
133,Wyndham-East Kimberley,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
134,Yalgoo,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
135,Yilgarn,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,19
136,York,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
137,No Fixed Address (WA),10,8,5,0,3,631,42,74,4,0,4,13,14,132,14,0,944
138,Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,3,12,0,3,0,0,22
139,Total,731,310,7,0,20,11690,720,231,82,69,237,208,929,1884,205,0,17325
