,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Armadale,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,19
2,Ashburton,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,17
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8
4,Bassendean,4,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,18
5,Bayswater,0,4,0,0,0,51,0,0,0,0,0,0,0,3,0,0,60
6,Belmont,0,0,0,0,0,123,8,0,0,0,0,0,0,14,0,0,158
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,14
16,Busselton,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
17,Cambridge,5,4,0,0,0,254,31,0,4,10,7,0,4,35,0,0,350
18,Canning,5,0,0,0,0,137,5,0,0,4,0,3,0,16,0,0,176
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Claremont,5,21,0,0,0,369,43,0,4,25,18,5,4,76,3,0,565
25,Cockburn,4,0,0,0,0,81,0,0,0,0,0,0,6,4,0,0,96
26,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
27,Coolgardie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,4,0,0,0,0,96,17,0,0,3,6,0,5,23,0,0,149
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,East Fremantle,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,13
45,East Pilbara,0,0,0,0,0,3,0,0,0,0,0,4,0,7,0,0,17
46,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Fremantle,13,5,0,0,0,151,0,0,0,5,5,0,0,24,3,0,206
49,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gosnells,0,0,0,0,0,25,0,0,0,0,0,0,3,0,0,0,32
53,Greater Geraldton,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Harvey,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6
56,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Joondalup,3,0,0,0,0,98,0,0,0,0,0,0,0,16,0,0,126
59,Kalamunda,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,18
60,Kalgoorlie,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
61,Karratha,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
62,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Kwinana,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,15
70,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
71,Laverton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Leonora,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
73,Mandurah,0,3,0,0,0,10,4,0,0,0,0,0,0,0,0,0,15
74,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Meekatharra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Melville,7,0,0,0,0,215,4,0,0,0,0,0,0,23,9,0,267
77,Menzies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
