,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,9,0,0,0,0,3,0,0,4,0,0,17
1,Armadale,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
2,Ashburton,0,93,0,0,0,18,9,0,0,0,21,18,0,16,9,0,179
3,Augusta-Margaret River,0,0,0,0,0,17,9,0,0,0,7,0,0,0,0,0,37
4,Bassendean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bayswater,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13
6,Belmont,0,0,0,0,0,21,0,0,0,0,0,0,0,4,0,0,26
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
12,Broome,0,0,0,0,0,20,13,0,0,0,23,7,0,4,0,0,66
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,20
16,Busselton,0,0,0,0,0,29,0,0,0,0,0,0,0,4,0,0,29
17,Cambridge,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,6
18,Canning,3,5,0,0,0,18,0,6,0,0,0,0,0,4,3,0,35
19,Capel,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
20,Carnamah,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,5
21,Carnarvon,0,0,0,0,0,10,4,0,0,4,9,0,4,0,0,0,20
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
24,Claremont,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
25,Cockburn,0,0,0,0,0,19,0,0,0,0,0,0,0,3,0,0,23
26,Collie,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,8
27,Coolgardie,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
28,Coorow,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
