,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,Armadale,9,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,36
2,Ashburton,0,43,0,0,0,8,3,0,0,0,9,16,0,27,5,0,109
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6
4,Bassendean,10,0,0,0,0,27,0,0,0,0,0,0,0,5,0,0,39
5,Bayswater,5,15,0,0,0,67,8,0,0,0,0,3,0,13,3,0,120
6,Belmont,5,38,0,0,4,227,7,0,4,0,5,6,0,20,4,0,313
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,11
16,Busselton,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
17,Cambridge,24,18,0,0,0,70,9,0,7,5,5,0,5,15,0,0,155
18,Canning,21,28,0,0,0,231,10,0,0,0,0,0,0,21,0,0,313
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24,Claremont,27,9,0,0,0,51,5,0,0,0,0,0,0,12,0,0,113
25,Cockburn,21,5,0,0,0,122,4,0,0,0,0,4,0,16,0,0,182
