,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6
1,Armadale,8,0,0,0,0,528,16,7,4,0,0,0,0,68,6,0,632
2,Ashburton,4,486,3,0,4,76,54,8,0,4,53,149,3,314,33,0,1190
3,Augusta-Margaret River,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3
4,Bassendean,9,0,0,0,0,43,8,0,0,0,0,0,0,0,0,0,59
5,Bayswater,14,0,0,0,0,66,9,0,0,0,0,0,0,14,0,0,97
6,Belmont,21,8,0,0,0,829,26,8,5,0,0,17,3,101,3,0,1027
7,Beverley,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4
8,Boddington,0,14,0,0,0,50,12,0,0,0,0,5,0,23,3,0,108
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,3,0,0,0,0,7,0,0,5,3,0,17
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,40,3,0,0,0,0,0,0,6,0,0,48
16,Busselton,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,13
17,Cambridge,49,0,0,0,0,82,4,0,0,0,0,0,0,10,0,0,145
18,Canning,56,0,0,0,0,1516,68,29,8,0,0,12,0,131,10,0,1841
19,Capel,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Claremont,10,0,0,0,0,51,5,0,0,0,0,0,0,5,0,0,68
25,Cockburn,109,29,5,0,0,3756,163,27,33,7,7,24,17,295,32,0,4507
26,Collie,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,20
27,Coolgardie,0,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,24
28,Coorow,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,32
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
34,Cunderdin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,10
37,Dardanup,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
40,Donnybrook-Balingup,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,9
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,9,0,0,0,5,3,0,0,0,0,0,0,0,0,0,16
44,East Fremantle,0,0,0,0,0,39,0,0,0,0,0,0,0,5,0,0,53
45,East Pilbara,5,149,0,0,4,85,45,8,0,4,24,108,0,204,23,0,660
46,Esperance,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Fremantle,43,32,0,0,5,1175,44,4,7,0,0,4,0,187,18,0,1521
49,Gingin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gosnells,6,3,0,0,0,458,38,0,0,0,5,6,3,59,8,0,577
53,Greater Geraldton,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,16
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
55,Harvey,0,0,0,0,0,22,0,0,0,0,0,0,0,4,0,0,28
56,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Joondalup,31,0,0,0,0,49,0,0,0,0,3,0,0,10,0,0,96
59,Kalamunda,0,0,0,0,0,183,9,4,0,0,0,0,0,16,0,0,213
60,Kalgoorlie,0,17,0,0,0,22,4,0,0,0,0,17,0,13,0,0,72
61,Karratha,0,53,0,0,0,47,24,0,0,0,6,30,0,88,5,0,264
62,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Kellerberrin,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,6
64,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kondinin,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,0,10
67,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
69,Kwinana,20,21,0,0,0,3225,137,9,25,6,0,3,6,387,22,0,3864
70,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Laverton,0,32,0,0,0,16,14,0,0,0,4,32,0,34,8,0,153
72,Leonora,0,29,0,0,0,29,18,0,0,0,7,19,0,35,3,0,133
73,Mandurah,57,29,0,0,0,2198,114,8,7,6,3,5,11,302,16,0,2755
74,Manjimup,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
75,Meekatharra,0,8,0,0,0,4,6,0,0,0,4,14,0,13,9,0,63
76,Melville,261,10,0,0,5,1140,50,6,0,0,0,8,4,196,18,0,1712
77,Menzies,0,6,0,0,0,0,5,0,0,0,0,8,0,4,0,0,28
78,Merredin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Mosman Park,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,28
83,Mount Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7
84,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mundaring,0,0,0,0,0,40,0,0,0,0,0,0,0,3,0,0,45
87,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Murray,0,0,0,0,0,433,26,0,7,0,0,0,0,47,3,0,534
89,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Narrogin,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9
92,Nedlands,39,3,0,0,0,172,8,0,3,0,0,0,3,48,3,0,281
93,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
94,Northam,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
95,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Peppermint Grove,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,18
98,Perenjori,0,12,0,0,0,10,5,0,0,0,0,7,0,4,3,0,38
99,Perth,2029,42,0,0,8,652,51,0,5,0,18,44,15,348,45,0,3264
100,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
101,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Port Hedland,0,14,0,0,0,51,22,9,0,0,4,19,0,46,9,0,164
103,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
104,Ravensthorpe,0,10,0,0,0,4,3,0,0,0,0,0,0,0,0,0,18
105,Rockingham,119,332,7,4,23,13867,1329,124,91,162,551,413,1419,2544,169,0,21166
106,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Serpentine-Jarrahdale,0,0,0,0,0,329,19,0,0,0,3,0,0,42,5,0,410
108,Shark Bay,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
109,South Perth,20,0,0,0,0,127,5,5,0,0,0,0,0,24,0,0,182
110,Stirling,125,8,0,0,0,468,23,0,4,0,5,6,7,47,5,0,704
111,Subiaco,107,3,0,4,0,170,8,0,0,0,4,0,5,26,0,0,326
112,Swan,16,3,0,0,0,407,10,4,5,0,5,6,0,39,6,0,509
113,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Three Springs,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
115,Toodyay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Victoria Park,74,5,0,0,3,365,33,0,5,0,0,9,3,67,7,0,574
119,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Vincent,104,0,0,0,0,148,5,0,0,0,4,4,0,48,9,0,315
121,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
123,Wanneroo,4,0,0,0,0,116,4,0,0,0,0,5,0,10,0,0,148
124,Waroona,0,0,0,0,0,84,4,0,0,0,0,0,0,8,0,0,95
125,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
126,Westonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
127,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Wiluna,0,13,0,0,0,9,4,0,0,0,8,15,0,20,7,0,71
130,Wongan-Ballidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Wyalkatchem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Wyndham-East Kimberley,0,6,0,0,0,4,4,0,0,0,0,3,0,7,0,0,19
134,Yalgoo,0,5,0,0,0,8,3,0,0,0,0,4,0,7,0,0,25
135,Yilgarn,0,8,0,0,0,16,4,0,0,0,8,5,0,16,0,0,58
136,York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,No Fixed Address (WA),61,81,0,0,5,1919,222,91,10,3,23,129,31,416,30,0,3013
138,Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,19,65,0,11,10,0,107
139,Total,3417,1499,18,13,64,35308,2693,356,239,202,796,1218,1564,6425,541,0,54358
