,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Armadale,5,36,0,0,0,1367,108,11,9,0,5,5,4,213,5,0,1766
2,Ashburton,0,70,0,0,0,18,6,0,0,0,7,28,4,47,6,0,176
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,0,0,0,0,0,33,0,0,0,0,0,0,0,3,0,0,38
5,Bayswater,4,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,83
6,Belmont,0,5,0,0,0,467,10,5,0,0,0,13,4,54,8,0,562
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,5,0,0,0,21,5,0,0,0,0,0,0,11,0,0,42
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Cambridge,8,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,41
18,Canning,12,0,0,0,4,1005,42,19,8,0,0,0,0,72,5,0,1176
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Claremont,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,15
25,Cockburn,0,7,0,0,0,733,20,12,0,0,0,3,0,64,6,0,848
26,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Coolgardie,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
36,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
40,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,East Fremantle,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7
45,East Pilbara,0,30,0,0,0,21,10,3,0,0,4,22,0,43,3,0,142
46,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
48,Fremantle,0,0,0,0,0,190,7,0,0,0,0,0,3,33,0,0,233
49,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gosnells,10,0,0,0,0,715,34,6,0,0,0,4,0,61,14,0,842
53,Greater Geraldton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Harvey,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
56,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Joondalup,7,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,22
59,Kalamunda,0,0,0,0,0,136,6,3,0,0,0,0,0,10,0,0,163
60,Kalgoorlie,0,4,0,0,0,4,3,0,0,0,0,0,0,5,0,0,16
61,Karratha,0,5,0,0,0,8,3,0,0,0,4,5,0,15,0,0,47
62,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
63,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
67,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Kwinana,0,0,0,0,3,267,7,6,4,0,0,0,0,17,4,0,306
70,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Laverton,0,6,0,0,0,5,6,0,0,0,0,3,0,14,0,0,28
72,Leonora,0,5,0,0,0,5,4,0,0,0,0,0,0,4,0,0,17
73,Mandurah,0,0,0,0,0,82,5,0,0,0,0,0,0,12,0,0,104
74,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Meekatharra,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
76,Melville,8,0,0,0,0,330,8,0,0,0,0,0,0,51,0,0,411
77,Menzies,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,7
78,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
81,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Mosman Park,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
83,Mount Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
84,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mundaring,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,40
87,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Murray,0,0,0,0,0,79,12,0,0,0,0,0,0,20,0,0,106
89,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Narrogin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
92,Nedlands,6,0,0,0,0,53,7,0,0,0,0,0,0,6,0,0,70
93,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Northam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Peppermint Grove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Perenjori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Perth,286,11,0,0,0,240,13,0,0,4,0,7,5,62,11,0,642
100,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Port Hedland,0,5,0,0,0,12,5,0,0,0,0,0,0,3,3,0,29
103,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Ravensthorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Rockingham,3,3,0,0,0,337,15,0,0,0,0,4,3,43,0,0,411
106,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Serpentine-Jarrahdale,5,12,0,0,9,1235,99,84,20,11,157,38,541,240,21,0,2470
108,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,South Perth,3,0,0,0,0,56,0,0,0,0,0,0,0,10,0,0,73
110,Stirling,15,0,0,0,0,143,6,4,0,0,0,0,3,16,0,0,191
111,Subiaco,19,5,0,0,0,58,3,0,3,0,0,0,0,12,0,0,89
112,Swan,0,5,0,0,0,208,10,6,4,0,0,4,0,17,0,0,257
113,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Toodyay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Victoria Park,9,0,0,0,0,173,3,0,0,0,0,0,0,22,5,0,213
119,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Vincent,15,0,0,0,0,46,0,0,0,0,0,0,0,12,0,0,69
121,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Wanneroo,0,0,0,0,0,25,0,6,0,0,0,0,0,6,0,0,37
124,Waroona,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,25
125,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
126,Westonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
127,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Wiluna,0,0,0,0,0,4,6,0,0,0,0,0,0,3,0,0,10
