,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,Armadale,0,0,0,0,0,121,6,0,0,0,0,0,0,14,0,0,144
2,Ashburton,0,54,0,0,0,8,4,0,0,0,6,9,3,31,5,0,114
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,Bassendean,3,3,0,0,0,42,5,0,0,0,0,0,0,6,0,0,54
5,Bayswater,6,6,0,0,0,133,3,0,0,3,0,0,0,14,0,0,179
6,Belmont,8,20,0,0,4,709,25,0,5,4,0,5,4,96,12,0,881
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,10
16,Busselton,0,0,0,0,0,3,4,0,0,5,0,0,0,0,0,0,12
17,Cambridge,16,0,0,0,6,211,12,0,0,13,0,0,4,22,0,0,277
18,Canning,10,21,0,0,0,1035,37,0,0,16,0,0,0,99,7,0,1238
19,Capel,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12
24,Claremont,0,7,0,0,0,107,3,0,0,0,0,0,0,17,0,0,141
25,Cockburn,14,0,6,0,0,512,16,3,3,0,0,5,3,32,9,0,598
26,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Coolgardie,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,0,0,0,0,0,43,0,0,0,0,0,0,0,15,0,0,53
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dardanup,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
44,East Fremantle,0,0,0,0,0,21,0,0,0,0,0,0,0,10,0,0,36
45,East Pilbara,0,20,0,0,0,11,11,0,0,0,3,11,0,37,5,0,97
46,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Fremantle,3,25,0,0,0,315,11,0,0,4,0,0,3,41,4,0,411
49,Gingin,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gosnells,4,7,0,0,0,270,5,0,0,0,0,0,0,29,0,0,314
53,Greater Geraldton,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,7
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Harvey,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
56,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Joondalup,12,0,0,0,0,145,3,0,0,0,0,0,5,18,4,0,186
59,Kalamunda,0,0,0,0,0,111,4,5,0,0,0,0,0,10,0,0,129
60,Kalgoorlie,0,4,0,0,0,3,0,0,0,0,5,0,0,6,0,0,12
61,Karratha,0,0,0,0,0,9,5,0,0,0,0,0,0,7,0,0,27
62,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Kwinana,4,0,0,0,0,103,0,0,0,0,0,0,0,3,0,0,121
70,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Laverton,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,9
72,Leonora,0,6,0,0,0,5,3,0,0,0,0,3,0,3,3,0,19
73,Mandurah,12,0,0,0,0,27,0,0,0,0,0,0,0,9,0,0,42
74,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Meekatharra,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8
76,Melville,28,49,0,0,5,966,40,0,0,18,10,5,5,175,13,0,1317
77,Menzies,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
78,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
81,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Mosman Park,0,4,0,0,0,40,0,0,0,0,0,0,0,7,0,0,47
83,Mount Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mundaring,0,0,0,0,0,37,0,0,0,0,0,0,0,3,0,0,42
87,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Murray,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5
89,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Narrogin,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
92,Nedlands,11,22,0,0,0,390,21,0,3,12,0,4,3,50,0,0,513
93,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Northam,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,16
95,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Peppermint Grove,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,18
98,Perenjori,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
99,Perth,440,1347,41,0,31,1710,283,0,38,260,43,24,30,301,28,0,4578
100,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
102,Port Hedland,0,4,0,0,0,3,0,0,0,0,0,4,0,3,0,0,20
103,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Ravensthorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
105,Rockingham,15,0,0,0,0,113,4,0,0,0,4,0,0,5,0,0,145
106,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Serpentine-Jarrahdale,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,21
108,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,South Perth,20,59,0,0,10,1725,150,16,10,54,331,44,868,364,24,0,3682
110,Stirling,32,6,0,0,5,787,20,0,0,5,0,0,4,67,5,0,927
111,Subiaco,31,35,0,0,0,577,41,0,4,39,6,5,13,80,3,0,828
112,Swan,5,6,0,0,0,370,10,4,0,0,0,0,4,26,3,0,422
113,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Toodyay,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7
116,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Victoria Park,0,98,0,6,0,999,79,3,8,62,52,0,9,121,7,0,1441
119,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
120,Vincent,28,24,0,0,3,379,15,0,3,8,0,0,0,37,6,0,512
121,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
123,Wanneroo,0,0,0,0,0,115,0,0,0,0,0,0,0,12,0,0,131
124,Waroona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
126,Westonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Wiluna,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7
130,Wongan-Ballidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Wyalkatchem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Wyndham-East Kimberley,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
134,Yalgoo,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7
135,Yilgarn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
136,York,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
137,No Fixed Address (WA),13,19,0,0,3,388,28,4,0,12,17,21,14,92,10,0,614
138,Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,12
