,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,9
1,Armadale,10,4,0,0,0,169,11,4,0,0,0,0,0,14,0,0,202
2,Ashburton,0,267,0,0,3,63,34,6,0,6,48,87,11,167,13,0,697
3,Augusta-Margaret River,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7
4,Bassendean,13,3,0,0,0,455,19,3,5,4,0,4,4,32,14,0,552
5,Bayswater,29,165,0,0,11,2375,196,11,8,23,28,19,18,366,33,0,3273
6,Belmont,38,55,0,0,9,2680,83,14,22,4,5,25,15,230,24,0,3205
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,Boddington,0,8,0,0,0,14,0,0,0,0,6,0,0,9,0,0,34
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
12,Broome,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,36
16,Busselton,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,14
17,Cambridge,93,69,0,5,9,2086,142,0,16,40,26,11,15,289,23,0,2819
18,Canning,88,26,0,0,5,2082,71,19,12,9,8,19,7,122,18,0,2487
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,20,0,0,0,0,0,0,0,5,0,0,31
24,Claremont,58,10,0,0,0,748,26,0,0,0,0,0,3,94,12,0,947
25,Cockburn,36,14,4,0,0,939,41,6,8,0,3,7,6,75,13,0,1163
26,Collie,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
27,Coolgardie,0,7,0,0,0,10,3,0,0,0,0,0,0,4,0,0,29
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
30,Cottesloe,16,5,0,0,0,246,9,0,0,5,4,0,0,28,3,0,312
31,Cranbrook,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
34,Cunderdin,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7
36,Dandaragan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
37,Dardanup,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
38,Denmark,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
39,Derby-West Kimberley,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
40,Donnybrook-Balingup,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,11
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,6,0,0,0,0,0,0,0,0,0,4,0,6,0,0,12
44,East Fremantle,5,4,0,0,0,50,8,0,0,0,0,0,0,8,0,0,73
45,East Pilbara,0,107,0,0,4,64,29,3,0,0,33,80,0,118,20,0,468
46,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10
48,Fremantle,80,8,0,0,0,847,20,5,5,10,0,5,3,85,9,0,1075
49,Gingin,0,0,0,0,0,20,9,0,0,0,0,0,0,3,0,0,27
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
52,Gosnells,14,3,0,3,0,467,14,7,0,0,0,0,0,20,8,0,545
53,Greater Geraldton,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,23
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,9
55,Harvey,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,8
56,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
