,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8
1,Armadale,3,0,0,0,0,155,6,5,0,0,0,0,0,20,0,0,188
2,Ashburton,0,215,0,0,0,54,31,0,0,0,39,90,0,164,17,0,614
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
4,Bassendean,14,19,0,0,0,963,57,9,10,9,5,10,0,86,12,0,1183
5,Bayswater,52,137,0,0,4,2522,191,19,14,12,10,13,7,350,35,0,3360
6,Belmont,20,37,0,0,4,3129,131,25,22,11,6,21,4,302,34,0,3744
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4
8,Boddington,0,9,0,0,0,35,6,0,0,0,0,0,0,16,3,0,65
9,Boyup Brook,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,16
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
17,Cambridge,43,4,0,0,0,293,20,0,4,3,0,3,4,35,4,0,413
18,Canning,53,18,0,0,5,2155,87,34,24,0,3,11,6,150,23,0,2568
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,153,12,4,0,0,0,0,3,26,0,0,205
24,Claremont,21,0,0,0,0,101,0,0,0,0,0,0,3,12,4,0,139
25,Cockburn,9,11,0,0,0,564,17,11,4,0,0,10,3,31,12,0,682
26,Collie,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
27,Coolgardie,0,3,0,0,0,5,3,0,0,0,0,0,0,5,3,0,28
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,33
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
36,Dandaragan,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,19
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
40,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11
44,East Fremantle,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,23
45,East Pilbara,0,166,0,0,11,72,37,9,0,0,40,91,0,184,25,0,627
46,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
48,Fremantle,23,0,0,0,0,179,7,0,0,0,0,3,0,32,0,0,253
49,Gingin,0,0,0,0,0,58,0,0,0,0,0,0,0,5,4,0,68
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gosnells,9,5,0,0,0,571,22,3,0,0,0,0,0,50,8,0,666
53,Greater Geraldton,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15
54,Halls Creek,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7
55,Harvey,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3
56,Irwin,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
57,Jerramungup,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
58,Joondalup,31,10,0,0,0,1232,36,0,5,0,4,5,4,159,15,0,1495
59,Kalamunda,0,10,0,0,0,970,42,13,8,3,4,4,0,81,12,0,1151
60,Kalgoorlie,0,11,0,0,0,22,4,4,0,0,0,6,0,19,4,0,68
61,Karratha,0,20,0,0,0,25,13,0,0,0,3,16,3,47,11,0,144
62,Katanning,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
63,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
