,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albury,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,12
1,Armidale Regional,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3
2,Ballina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Balranald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bathurst Regional,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
5,Bega Valley,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
6,Bellingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Berrigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Blacktown,4,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,24
9,Bland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Blayney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Blue Mountains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bogan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Botany Bay,4,0,0,0,0,52,6,0,0,0,8,7,0,27,0,0,102
14,Bourke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Brewarrina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Broken Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
17,Burwood,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
18,Byron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
19,Cabonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
20,Camden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21,Campbelltown (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Canada Bay,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10
23,Canterbury-Bankstown,3,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,35
24,Carrathool,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
25,Central Coast (NSW),0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,18
26,Central Darling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Cessnock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Clarence Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
29,Cobar,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,7
30,Coffs Harbour,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
31,Coolamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Coonamble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cowra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cumberland,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,15
35,Dungog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Edward River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Eurobodalla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Fairfield,0,0,0,0,0,6,9,0,0,0,0,0,0,3,0,0,21
39,Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Georges River,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13
42,Gilgandra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Glen Innes Severn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Goulburn Mulwaree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
45,Greater Hume Shire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Griffith,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
47,Gundagai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Gunnedah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Gwydir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Hawkesbury,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,7
51,Hay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Hilltops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
53,Hornsby,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,10
54,Hunters Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Inner West,4,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,20
56,Inverell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Junee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Kempsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
59,Kiama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Ku-ring-gai,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
61,Kyogle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Lachlan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Lake Macquarie,0,0,0,0,0,6,0,0,0,0,8,0,4,0,0,0,15
64,Lane Cove,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,19
65,Leeton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Lismore,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,7
67,Lithgow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Liverpool,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,22
69,Liverpool Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Lockhart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Maitland,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
72,Mid-Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
73,Mid-Western Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
74,Moree Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Mosman,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
76,Murray River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Murrumbidgee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Muswellbrook,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,6
79,Nambucca,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
80,Narrabri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Narrandera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Narromine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Newcastle,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,19
84,North Sydney,11,3,0,0,0,29,4,0,0,0,12,4,7,6,0,0,75
85,Northern Beaches,0,4,0,0,0,18,0,0,0,0,0,0,3,3,0,0,30
86,Oberon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
87,Orange,0,3,0,0,0,4,0,0,0,0,4,0,5,3,0,0,11
88,Parkes,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
89,Parramatta,6,0,0,0,0,25,0,0,0,0,3,0,0,4,0,0,35
90,Penrith,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10
91,Port Macquarie-Hastings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Port Stephens,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4
93,Queanbeyan-Palerang Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Randwick,0,5,0,0,0,5,0,0,0,0,3,0,0,0,0,0,22
95,Richmond Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Rockdale,4,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,13
97,Ryde,8,8,0,0,0,43,3,0,0,0,5,0,3,14,0,0,86
98,Shellharbour,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
99,Shoalhaven,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14
100,Singleton,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,11
101,Snowy Monaro Regional,0,0,0,0,0,4,10,0,0,0,14,0,4,0,0,0,34
102,Snowy Valleys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
103,Strathfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Sutherland Shire,0,0,0,0,0,10,0,0,0,0,3,0,0,5,0,0,17
105,Sydney,85,26,3,0,11,99,8,3,6,7,62,30,42,33,10,0,419
106,Tamworth Regional,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,8
107,Temora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Tenterfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,The Hills Shire,0,5,0,0,0,29,0,0,0,0,0,0,3,0,0,0,33
110,Tweed,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
111,Upper Hunter Shire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Upper Lachlan Shire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Uralla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Wagga Wagga,0,0,0,0,0,7,0,0,0,0,10,9,3,3,0,0,36
