,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
1,Armadale,12,0,0,0,0,121,7,0,0,0,0,0,0,17,0,0,161
2,Ashburton,0,46,0,0,0,10,3,0,0,0,3,18,0,25,3,0,114
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,4,3,0,0,0,50,4,0,0,0,0,0,0,3,0,0,69
5,Bayswater,10,7,0,0,0,174,14,0,0,0,0,0,0,27,0,0,239
6,Belmont,10,61,0,0,4,851,64,0,8,14,12,0,3,91,3,0,1127
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,11
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,11
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Cambridge,20,4,0,0,0,181,10,0,0,5,0,0,3,14,0,0,245
18,Canning,32,54,0,0,4,1016,56,3,7,16,8,17,9,107,16,0,1338
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
24,Claremont,20,0,0,0,0,88,3,0,0,0,0,0,0,10,0,0,128
25,Cockburn,6,7,0,0,0,316,8,0,0,4,0,5,4,28,4,0,383
26,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Coolgardie,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,10
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,3,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,30
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,East Fremantle,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,5
45,East Pilbara,0,31,0,0,0,20,14,0,0,0,10,10,0,16,6,0,107
46,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Fremantle,30,12,0,0,0,212,4,0,4,0,0,0,0,29,3,0,299
49,Gingin,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gosnells,13,0,0,0,0,254,9,0,0,3,0,0,0,33,0,0,317
53,Greater Geraldton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Harvey,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,9
56,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Joondalup,20,0,0,0,0,136,3,0,0,0,0,0,0,21,0,0,177
59,Kalamunda,0,6,0,0,0,188,3,4,0,0,0,0,0,14,0,0,223
60,Kalgoorlie,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5
61,Karratha,0,6,0,0,0,5,3,0,0,0,0,3,0,7,0,0,28
62,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kondinin,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
67,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Kwinana,0,0,0,0,0,66,0,0,0,0,0,0,0,4,0,0,72
70,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Laverton,0,9,0,0,0,0,0,0,0,0,0,0,0,13,0,0,28
72,Leonora,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,18
73,Mandurah,4,0,0,0,0,21,0,0,0,0,0,0,0,10,0,0,28
74,Manjimup,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5
75,Meekatharra,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,12
76,Melville,21,19,0,0,0,414,15,0,6,13,0,0,4,57,0,0,546
