,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,Armadale,4,0,0,0,0,37,0,0,0,0,0,0,3,5,0,0,44
2,Ashburton,0,53,0,0,0,11,7,0,0,0,10,7,0,36,6,0,138
3,Augusta-Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
4,Bassendean,5,0,0,0,0,65,5,0,6,4,0,0,0,10,0,0,92
5,Bayswater,6,22,0,0,0,264,11,0,4,5,6,4,3,48,0,0,373
6,Belmont,4,16,0,0,0,404,17,4,5,11,0,5,0,49,0,0,535
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,11
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Cambridge,12,15,0,0,0,318,19,0,0,17,28,0,0,29,0,0,457
18,Canning,26,7,0,0,0,373,15,0,9,9,0,0,7,29,6,0,476
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
24,Claremont,37,3,0,0,0,130,0,0,0,0,0,0,0,15,0,0,190
25,Cockburn,10,3,0,0,0,196,0,0,3,0,0,3,6,20,0,0,237
26,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Coolgardie,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
28,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cottesloe,9,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,51
31,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,East Fremantle,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,11
45,East Pilbara,0,12,0,0,0,10,9,0,0,0,5,9,0,22,3,0,74
46,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Fremantle,51,0,0,0,0,158,3,4,0,3,0,0,3,17,0,0,247
49,Gingin,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
50,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gosnells,8,0,0,0,0,71,0,0,4,0,0,0,0,11,0,0,93
53,Greater Geraldton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
54,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Harvey,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
56,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Joondalup,39,0,0,0,0,292,3,0,3,3,0,0,0,32,5,0,389
59,Kalamunda,0,3,0,0,0,52,0,0,0,0,0,0,4,5,0,0,70
60,Kalgoorlie,0,0,0,0,0,8,0,0,0,0,3,0,5,0,0,0,18
61,Karratha,0,7,0,0,0,10,7,0,0,0,5,4,0,3,4,0,32
62,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Kwinana,5,0,0,0,0,42,0,0,0,0,0,0,3,6,0,0,49
70,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Laverton,0,3,0,0,0,3,4,0,0,0,0,3,0,0,0,0,10
72,Leonora,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8
73,Mandurah,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,26
74,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Meekatharra,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
76,Melville,63,4,0,0,0,330,10,0,0,7,0,0,4,31,4,0,448
77,Menzies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Mosman Park,0,0,5,0,0,20,0,0,0,0,0,0,0,4,0,0,28
83,Mount Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mundaring,0,0,0,0,0,29,0,0,0,0,0,0,3,3,0,0,37
87,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Murray,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
89,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Narrogin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Nedlands,9,32,0,0,0,437,22,0,7,21,0,0,3,55,3,0,591
93,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Northam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
95,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Peppermint Grove,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,21
98,Perenjori,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10
99,Perth,357,1507,0,0,41,1578,313,0,48,445,918,38,48,449,54,0,5814
100,Pingelly,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
101,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Port Hedland,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,14
103,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Ravensthorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Rockingham,0,0,0,0,0,33,3,0,0,0,0,0,0,4,0,0,42
106,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Serpentine-Jarrahdale,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,21
108,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,South Perth,7,8,0,0,4,161,7,0,0,6,0,0,4,15,3,0,209
110,Stirling,41,81,0,0,12,1261,78,4,16,34,45,5,5,162,5,0,1750
111,Subiaco,72,50,0,0,4,636,54,0,14,74,29,3,10,95,12,0,1060
112,Swan,24,8,0,0,0,403,12,0,8,3,0,4,7,47,0,0,513
113,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Toodyay,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
116,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Victoria Park,36,7,0,0,3,360,11,0,4,19,0,0,0,53,3,0,501
119,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Vincent,33,55,0,0,10,1209,99,10,9,99,468,44,681,236,21,0,2983
121,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Wanneroo,7,0,0,0,0,207,8,5,0,0,0,0,4,21,0,0,263
124,Waroona,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
125,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Westonia,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
127,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Wiluna,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
130,Wongan-Ballidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
131,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Wyalkatchem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Wyndham-East Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Yalgoo,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,13
135,Yilgarn,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
136,York,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
137,No Fixed Address (WA),13,22,0,0,8,363,26,13,0,6,21,23,15,73,5,0,588
138,Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,3,7,0,5,0,0,14
139,Total,897,1948,3,3,95,9609,772,49,138,779,1565,185,812,1634,160,0,18656
