,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
1,Armadale,10,0,0,0,0,82,7,5,0,0,0,0,0,12,0,0,118
2,Ashburton,0,378,0,0,3,86,30,3,0,4,65,140,0,217,11,0,938
3,Augusta-Margaret River,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3
4,Bassendean,3,3,0,0,0,367,23,0,0,0,0,5,0,18,3,0,425
5,Bayswater,25,20,0,0,0,1217,62,9,4,6,0,0,3,134,14,0,1496
6,Belmont,30,11,0,0,5,2010,71,26,8,4,0,30,8,164,22,0,2399
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,8,0,0,0,21,0,0,0,0,3,3,0,8,0,0,49
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8
12,Broome,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,14,0,0,0,0,0,5,0,7,0,0,32
16,Busselton,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,15
17,Cambridge,109,8,0,0,3,722,27,5,3,0,0,0,4,109,13,0,999
18,Canning,58,12,0,0,0,1473,81,27,3,0,0,21,4,93,26,0,1803
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
21,Carnarvon,0,0,0,0,0,4,0,0,0,0,0,4,3,3,0,0,13
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,97,12,0,0,0,0,0,0,14,0,0,128
24,Claremont,13,4,0,0,0,167,16,7,0,0,0,0,0,27,5,0,230
25,Cockburn,41,11,12,0,0,600,21,7,3,0,0,7,3,51,3,0,767
