,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,510242137,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,510252136,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,510252147,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,3
20,510292173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
24,510301014,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,14
25,510311126,6,0,0,0,0,27,0,0,0,0,0,0,0,3,0,0,33
26,510311132,17,0,0,0,0,55,3,0,0,0,0,0,0,10,0,0,85
27,510311143,3,0,0,0,0,20,0,0,0,0,0,0,0,5,0,0,32
28,510311144,3,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,12
29,510311149,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,22
30,510321145,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,21
31,510321147,13,0,0,0,0,15,0,0,0,0,0,0,0,10,0,0,32
32,510321161,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
33,510331015,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,21
34,510331019,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
35,510331049,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
36,510341158,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,24
37,510341163,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,17
38,510341165,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,17
39,510341168,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
40,510351121,0,7,0,0,0,68,3,0,0,0,0,0,0,22,0,0,98
41,510351122,26,57,0,0,0,325,26,0,0,8,0,0,11,91,0,0,545
42,510351129,3,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,32
43,510351130,0,4,0,0,0,38,0,0,0,0,0,0,0,3,0,0,54
44,510351133,4,0,0,0,0,22,0,0,0,0,0,0,7,5,0,0,32
45,510351135,9,17,0,0,0,92,7,0,0,0,0,0,11,21,0,0,165
46,510351137,3,0,0,0,0,20,0,0,0,0,0,0,3,5,0,0,35
47,510351140,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,16
48,510351151,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10
49,510351154,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6
50,510361068,0,0,0,0,0,57,3,0,0,0,0,0,0,0,0,0,68
51,510361089,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,16
52,510361113,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,22
53,510361127,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,15
54,510371082,0,3,0,0,0,20,0,0,0,0,0,0,0,3,0,0,25
55,510381004,3,0,0,0,0,41,3,0,0,0,0,0,0,0,0,0,54
56,510381006,0,4,0,0,0,37,0,0,0,0,0,0,6,3,0,0,44
57,510381010,3,0,0,0,0,61,5,0,0,0,0,0,4,5,0,0,82
58,510381011,0,0,0,0,0,22,0,0,0,0,0,0,0,7,0,0,36
59,510381020,13,3,0,0,0,63,7,0,0,0,0,0,5,7,0,0,103
60,510381026,15,0,0,0,0,53,0,0,0,0,0,0,3,15,0,0,95
61,510391012,0,8,0,0,7,50,3,0,0,0,0,4,4,9,0,0,74
62,510391017,0,4,0,0,0,41,4,0,0,0,0,3,0,10,0,0,61
63,510391370,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,16
64,510391373,0,10,0,0,0,117,32,0,0,0,4,4,3,31,0,0,197
65,510391383,0,0,0,0,0,75,9,0,0,0,0,0,0,11,0,0,98
66,510391384,4,10,0,0,3,82,8,0,0,3,0,12,0,23,0,0,137
67,510391389,0,0,0,0,0,48,3,0,0,0,0,0,0,5,0,0,60
68,510391394,0,3,0,0,0,89,3,0,0,0,0,4,0,13,0,0,113
69,510391397,0,3,0,0,3,59,4,0,0,4,0,3,11,11,0,0,90
70,510401002,5,0,0,0,0,33,0,0,0,0,0,4,0,6,0,0,45
71,510401003,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,25
72,510401008,0,7,0,0,0,30,0,0,0,0,0,0,0,6,0,0,42
73,510401009,0,0,0,0,0,33,0,0,0,0,0,0,3,6,0,0,43
74,510401013,6,0,0,0,0,54,4,0,0,0,0,0,0,5,0,0,75
75,510420001,21,0,0,0,0,107,0,0,0,5,0,0,15,11,0,0,165
76,510421040,8,3,0,0,0,28,0,0,0,0,0,0,0,4,0,0,47
77,510421042,10,0,0,0,0,55,7,0,0,0,0,0,4,3,0,0,76
78,510421043,3,3,0,0,0,57,0,0,0,0,0,0,10,3,0,0,77
79,510421046,36,3,0,0,0,105,4,0,0,0,0,0,20,23,0,0,195
80,510421059,0,0,0,0,0,16,0,0,0,0,0,0,0,7,0,0,20
81,510421060,3,0,0,0,5,58,0,0,0,0,0,0,3,6,0,0,79
82,510421072,16,0,0,0,0,71,5,0,0,0,0,0,0,27,0,0,121
83,510421074,0,0,0,0,0,29,0,0,0,4,0,0,4,6,0,0,42
84,510421110,4,0,0,0,0,17,3,0,0,0,0,0,0,4,0,0,32
