,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,510252136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
11,510252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
20,510292173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,83,8,0,0,0,0,11,131,34,0,0,279
24,510301014,0,0,0,0,0,80,4,0,0,0,5,12,177,26,0,0,306
25,510311126,0,0,0,0,0,27,0,0,0,0,0,0,0,13,0,0,47
26,510311132,7,4,0,0,0,67,10,0,0,0,0,0,5,20,0,0,111
27,510311143,0,0,0,0,0,35,0,0,0,0,0,0,0,10,0,0,45
28,510311144,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,11
29,510311149,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,45
30,510321145,3,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,29
31,510321147,3,0,0,0,0,48,0,0,0,0,0,0,5,10,0,0,69
32,510321161,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,6
33,510331015,0,5,0,0,0,139,14,3,0,3,0,25,209,62,5,0,463
34,510331019,0,0,0,0,0,35,0,0,0,0,0,14,45,12,0,0,115
35,510331049,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
36,510341158,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,42
37,510341163,3,0,0,0,0,32,0,0,0,0,0,0,0,5,0,0,39
38,510341165,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
39,510341168,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
40,510351121,0,3,0,0,3,58,0,0,0,6,0,0,0,8,0,0,81
41,510351122,0,50,0,0,0,269,42,0,0,22,0,0,5,67,0,0,466
42,510351129,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,12
43,510351130,0,4,0,0,0,33,7,0,3,0,0,0,4,0,0,0,51
44,510351133,0,0,0,0,0,22,0,0,0,0,0,0,6,0,0,0,32
45,510351135,3,14,0,0,0,95,3,0,0,21,0,0,16,17,0,0,167
46,510351137,0,0,0,0,0,30,0,0,0,0,0,0,0,6,0,0,42
47,510351140,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,17
48,510351151,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,21
49,510351154,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,13
50,510361068,0,0,0,0,0,99,13,0,0,5,0,3,0,25,0,0,144
51,510361089,0,0,0,0,0,17,0,0,0,0,0,4,39,3,0,0,64
52,510361113,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
53,510361127,0,0,0,0,0,34,4,0,0,0,0,0,0,7,0,0,44
54,510371082,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,18
55,510381004,0,0,0,0,0,37,0,0,0,7,0,0,3,6,0,0,50
56,510381006,0,0,0,0,0,22,0,0,0,0,0,0,0,4,0,0,33
57,510381010,0,0,0,0,0,35,0,0,0,3,0,5,0,7,0,0,50
58,510381011,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,29
59,510381020,3,0,0,0,0,43,9,0,0,3,0,7,0,3,0,0,68
60,510381026,0,0,0,0,0,38,5,0,0,0,0,6,0,9,0,0,62
61,510391012,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
62,510391017,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
63,510391370,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
64,510391373,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,17
65,510391383,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,23
66,510391384,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10
67,510391389,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9
68,510391394,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
69,510391397,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,21
70,510401002,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,9
71,510401003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,510401008,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
73,510401009,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,17
74,510401013,0,3,0,0,0,9,0,0,0,0,0,0,0,3,0,0,14
75,510420001,3,5,0,0,5,161,16,0,0,8,3,21,19,25,0,0,267
76,510421040,0,0,0,0,0,35,4,0,0,5,0,14,0,3,0,0,69
77,510421042,0,3,0,0,0,36,0,0,0,0,0,0,5,9,0,0,64
78,510421043,0,0,0,0,0,50,3,0,0,5,0,6,3,10,0,0,78
79,510421046,5,9,0,0,3,124,18,0,0,6,6,3,14,24,0,0,204
80,510421059,0,0,0,0,0,28,8,0,0,0,0,0,0,19,0,0,54
81,510421060,0,0,0,0,0,66,5,0,0,6,0,0,0,5,0,0,86
82,510421072,0,3,0,0,5,111,8,0,0,13,0,6,4,33,0,0,184
83,510421074,0,4,0,0,0,65,0,0,0,0,0,5,0,10,0,0,90
84,510421110,4,0,0,0,0,32,0,0,0,0,0,0,5,6,0,0,52
