,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
2,510232133,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
3,510232134,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,510242137,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11
8,510252136,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8
11,510252140,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13,510252147,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
19,510292171,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
20,510292173,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,12
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6
24,510301014,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8
25,510311126,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,17
26,510311132,14,0,0,0,0,58,0,0,0,0,0,0,0,4,0,0,84
27,510311143,3,0,0,0,0,35,4,0,0,0,0,0,0,0,0,0,50
28,510311144,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5
29,510311149,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,20
30,510321145,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,22
31,510321147,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,26
32,510321161,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,16
33,510331015,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,18
34,510331019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
35,510331049,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
36,510341158,0,0,0,0,0,19,0,0,0,0,0,0,0,3,0,0,21
37,510341163,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,34
38,510341165,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,26
39,510341168,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
40,510351121,0,7,0,0,0,71,5,0,0,0,0,0,0,7,0,0,93
41,510351122,28,4,0,0,0,222,10,0,3,3,0,0,0,30,6,0,304
42,510351129,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,29
43,510351130,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,45
44,510351133,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,22
45,510351135,12,5,0,0,0,132,6,0,0,4,0,0,0,15,0,0,171
46,510351137,3,0,0,0,0,31,0,0,0,0,0,0,0,7,0,0,41
