,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
2,510232133,0,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,26
3,510232134,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
4,510232135,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
5,510242137,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,3,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,24
8,510252136,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,14
9,510252138,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,12
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
11,510252140,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,13
12,510252141,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,17
13,510252147,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,14
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,30,0,0,0,0,0,0,0,4,0,0,34
17,510282142,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
18,510282144,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13
19,510292171,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
20,510292173,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,30
21,510292175,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,12
22,510292177,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
23,510301001,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
24,510301014,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,20
25,510311126,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,22
26,510311132,12,0,0,0,0,74,10,0,0,0,0,0,0,10,3,0,100
27,510311143,0,0,0,0,0,50,0,0,0,0,0,0,0,11,5,0,59
28,510311144,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,15
29,510311149,0,0,0,0,0,39,0,0,0,0,0,0,0,4,0,0,45
30,510321145,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,24
31,510321147,0,0,0,0,0,55,3,0,0,0,0,0,0,8,0,0,72
32,510321161,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,28
33,510331015,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
34,510331019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,510331049,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8
36,510341158,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,48
37,510341163,0,0,0,0,0,80,4,0,0,0,0,0,0,3,0,0,94
38,510341165,0,0,0,0,0,62,0,0,0,0,0,0,0,6,0,0,72
39,510341168,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,22
40,510351121,4,0,0,0,0,66,5,0,0,0,0,0,0,19,0,0,91
41,510351122,16,0,0,0,0,204,6,0,4,3,0,0,0,38,0,0,278
42,510351129,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,22
43,510351130,0,0,0,0,0,29,0,0,0,0,0,0,0,3,0,0,37
44,510351133,0,0,0,0,0,25,0,0,0,0,0,0,0,3,0,0,32
45,510351135,21,7,0,0,0,120,0,0,0,0,0,0,0,12,0,0,168
46,510351137,0,0,0,0,0,23,0,0,0,0,0,0,0,4,0,0,37
47,510351140,4,0,0,0,0,19,0,0,0,0,0,0,0,3,0,0,24
48,510351151,0,0,0,0,0,19,0,0,0,0,0,0,0,5,0,0,21
49,510351154,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,17
50,510361068,4,0,0,0,0,74,4,0,0,0,0,0,0,13,0,0,96
51,510361089,0,0,0,0,0,46,0,0,0,0,0,0,0,3,0,0,50
52,510361113,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,33
53,510361127,0,0,0,0,0,22,0,0,0,0,0,0,0,4,0,0,28
54,510371082,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13
55,510381004,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,20
56,510381006,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,24
57,510381010,7,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,25
58,510381011,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
59,510381020,12,0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,37
60,510381026,38,0,0,0,0,37,0,0,0,0,0,0,0,4,6,0,88
61,510391012,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10
62,510391017,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,14
65,510391383,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,15
66,510391384,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10
67,510391389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,510391394,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,10
69,510391397,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17
70,510401002,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,12
71,510401003,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7
72,510401008,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6
73,510401009,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13
74,510401013,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
75,510411021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
76,510411022,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,26
77,510411023,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,28
