,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,9
3,510232134,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
4,510232135,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9
5,510242137,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13
8,510252136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,510252138,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4
10,510252139,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
11,510252140,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
12,510252141,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,10
13,510252147,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,9
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
19,510292171,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9
20,510292173,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,18
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
24,510301014,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9
25,510311126,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9
26,510311132,22,0,0,0,0,36,5,0,0,0,0,0,0,6,0,0,66
27,510311143,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,40
28,510311144,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7
29,510311149,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,19
30,510321145,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
31,510321147,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,22
32,510321161,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
33,510331015,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,16
34,510331019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
35,510331049,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
36,510341158,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,13
37,510341163,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,32
38,510341165,3,0,0,0,0,28,0,0,0,0,0,0,0,4,0,0,35
39,510341168,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
40,510351121,6,0,0,0,0,77,0,0,0,0,0,0,0,13,0,0,100
41,510351122,26,0,0,0,0,199,6,0,0,0,0,0,0,27,0,0,259
42,510351129,5,5,0,0,0,28,4,0,0,0,0,0,0,4,0,0,47
43,510351130,3,0,0,0,0,35,0,0,0,0,0,0,0,5,0,0,46
44,510351133,3,0,0,0,0,22,0,0,0,0,0,0,0,5,0,0,29
45,510351135,11,0,0,0,0,94,4,0,0,0,0,0,0,10,0,0,132
46,510351137,4,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,25
47,510351140,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,19
48,510351151,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,12
