,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
8,510252136,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510292173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,50,0,0,0,0,0,0,0,7,0,0,64
24,510301014,0,3,0,0,0,51,0,0,0,0,0,0,0,9,0,0,64
25,510311126,0,0,0,0,0,34,6,0,0,0,0,0,0,6,0,0,44
26,510311132,14,0,0,0,0,77,5,0,0,0,0,0,0,16,3,0,116
27,510311143,5,0,0,0,0,89,0,0,0,0,0,0,0,6,0,0,102
28,510311144,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,24
29,510311149,0,0,0,0,0,48,0,0,0,0,0,0,0,7,0,0,57
30,510321145,0,0,0,0,0,28,0,0,0,0,0,0,0,3,0,0,23
31,510321147,0,0,0,0,0,41,0,0,0,0,0,0,0,8,0,0,50
32,510321161,0,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,28
33,510331015,0,0,0,0,0,70,0,0,0,0,0,0,0,7,0,0,80
34,510331019,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,12
35,510331049,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,14
36,510341158,0,0,0,0,0,39,0,0,0,0,0,0,0,9,0,0,52
37,510341163,0,0,0,0,0,39,0,0,0,0,0,0,0,3,0,0,48
38,510341165,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,25
39,510341168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,510351121,3,0,0,0,0,158,4,0,0,0,0,0,0,37,5,0,210
41,510351122,41,5,0,0,0,468,15,0,3,0,0,0,0,118,7,0,660
42,510351129,8,0,0,0,0,33,3,0,0,0,0,0,0,6,0,0,53
43,510351130,3,0,0,0,0,42,0,0,0,0,0,0,0,9,0,0,55
44,510351133,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,63
45,510351135,47,3,0,0,0,191,6,0,3,0,0,0,5,28,0,0,287
46,510351137,0,0,0,0,0,53,0,0,0,0,0,0,6,0,0,0,61
47,510351140,0,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,39
48,510351151,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,16
49,510351154,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,15
50,510361068,7,0,0,0,0,176,5,0,5,5,0,0,0,25,0,0,215
51,510361089,0,0,0,0,0,69,0,0,0,0,0,0,0,5,0,0,80
52,510361113,0,0,0,0,0,36,0,0,0,0,4,0,0,4,0,0,41
53,510361127,0,0,0,0,0,34,0,0,0,0,0,0,0,5,0,0,45
54,510371082,4,0,0,0,0,32,0,0,0,0,0,0,0,7,0,0,38
55,510381004,4,0,0,0,0,55,4,0,0,0,0,0,0,11,0,0,71
56,510381006,3,0,0,0,0,75,3,0,0,0,0,0,0,9,0,0,94
57,510381010,12,0,0,0,0,93,5,0,0,0,0,0,0,13,0,0,123
58,510381011,4,0,0,0,0,27,0,0,0,0,0,0,0,3,0,0,37
59,510381020,21,0,0,0,0,81,5,0,0,0,0,0,0,4,0,0,110
60,510381026,54,0,0,0,0,91,4,0,4,7,0,0,0,13,0,0,178
61,510391012,4,0,0,0,0,17,4,0,0,0,0,0,0,5,0,0,27
62,510391017,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,20
63,510391370,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,6
64,510391373,0,0,0,0,0,38,0,0,0,0,0,0,0,7,0,0,47
65,510391383,0,0,0,0,0,48,0,0,0,0,0,0,0,7,0,0,67
66,510391384,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,29
67,510391389,0,0,0,0,0,16,0,0,0,0,0,0,0,7,0,0,30
68,510391394,0,0,0,0,0,53,0,0,0,0,0,0,0,6,0,0,56
69,510391397,0,0,0,0,0,32,0,0,0,0,0,0,0,3,0,0,33
70,510401002,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,32
71,510401003,0,0,0,0,0,23,0,0,0,0,0,0,0,4,0,0,27
72,510401008,7,0,0,0,0,27,0,0,0,0,0,0,0,3,0,0,36
73,510401009,5,0,0,0,0,40,0,0,0,0,0,0,0,8,5,0,57
74,510401013,3,0,0,0,0,35,6,0,0,0,0,0,0,3,0,0,45
75,510411021,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,23
76,510411022,10,0,0,0,0,66,0,0,0,0,0,0,0,7,0,0,87
77,510411023,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,33
78,510411024,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,510411027,10,0,0,0,0,33,0,0,3,0,0,0,0,3,0,0,52
80,510411029,22,0,0,0,0,68,0,0,0,0,0,0,0,4,0,0,103
81,510411030,0,0,0,0,0,29,0,0,0,0,0,0,3,0,0,0,41
82,510411031,3,0,0,0,0,24,0,0,0,3,0,0,0,0,0,0,28
83,510411033,0,0,0,0,0,33,0,0,0,0,0,0,0,4,0,0,41
84,510411035,5,5,0,0,0,29,6,0,0,0,0,0,0,6,4,0,45
