,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5
1,510222145,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7
2,510232133,0,0,0,0,0,17,0,0,0,0,0,0,0,9,0,0,18
3,510232134,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
4,510232135,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,17
5,510242137,6,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,26
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7,510252132,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,26
8,510252136,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13
9,510252138,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,15
10,510252139,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7
11,510252140,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,20
12,510252141,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,25
13,510252147,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,22
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
16,510272130,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,30
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
18,510282144,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
19,510292171,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4
20,510292173,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,19
21,510292175,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,7
22,510292177,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,510301014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,510311126,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
26,510311132,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13
27,510311143,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12
28,510311144,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
29,510311149,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,9
30,510321145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,510321147,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,15
32,510321161,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
33,510331015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,510331019,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,510341158,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7
37,510341163,0,0,0,0,0,10,6,0,0,0,0,0,0,3,0,0,15
38,510341165,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
39,510341168,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
40,510351121,4,0,0,0,0,22,0,0,0,0,0,0,0,4,0,0,32
41,510351122,16,0,0,0,0,33,0,0,0,0,0,0,0,10,0,0,68
42,510351129,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
43,510351130,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8
44,510351133,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9
45,510351135,20,0,0,0,0,22,0,0,0,0,0,0,0,5,0,0,51
46,510351137,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10
