,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
2,510232133,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,13
3,510232134,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
4,510232135,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
5,510242137,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13
6,510242143,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
7,510252132,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8
8,510252136,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
9,510252138,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7
10,510252139,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7
11,510252140,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
12,510252141,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
13,510252147,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4
19,510292171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510292173,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,13
21,510292175,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
24,510301014,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,18
25,510311126,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,38
26,510311132,15,3,0,0,0,117,3,0,0,0,0,0,0,17,0,0,157
27,510311143,5,0,0,0,0,78,0,0,0,0,0,0,0,9,0,0,96
28,510311144,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,14
29,510311149,0,5,0,0,0,51,0,0,0,0,0,0,0,7,0,0,63
30,510321145,4,0,0,0,0,32,0,0,0,0,0,0,0,7,0,0,40
31,510321147,6,6,0,0,0,78,0,0,0,0,0,0,0,5,0,0,87
32,510321161,0,0,0,0,0,20,0,0,0,0,0,0,0,4,0,0,30
33,510331015,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
34,510331019,0,4,0,0,0,5,3,0,0,0,0,0,0,0,0,0,8
35,510331049,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13
36,510341158,0,0,0,0,0,82,0,0,0,0,0,0,0,7,0,0,92
37,510341163,0,0,0,0,0,127,8,0,0,0,0,0,0,6,0,0,147
38,510341165,3,0,0,0,0,46,0,0,0,0,0,0,0,9,0,0,57
39,510341168,0,0,0,0,0,16,0,0,0,0,0,0,0,5,0,0,20
40,510351121,7,0,0,0,0,105,0,0,0,0,0,0,0,24,0,0,142
41,510351122,25,13,0,0,0,271,9,0,5,3,0,0,0,46,0,0,373
42,510351129,4,0,0,0,0,41,0,0,0,3,0,0,0,4,0,0,47
43,510351130,5,0,0,0,0,55,6,0,0,0,0,0,0,9,0,0,73
44,510351133,3,0,0,0,0,52,0,0,0,0,0,0,0,7,0,0,62
45,510351135,21,12,0,0,0,183,13,0,0,0,0,0,4,29,5,0,268
46,510351137,4,0,0,0,0,51,0,0,0,0,0,0,0,7,0,0,60
47,510351140,0,0,0,0,0,34,0,0,0,0,0,0,0,7,0,0,45
48,510351151,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,17
49,510351154,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
50,510361068,6,0,0,0,0,64,0,0,0,3,0,0,0,11,4,0,86
51,510361089,0,0,0,0,0,30,0,0,0,0,0,0,0,3,0,0,34
52,510361113,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,28
53,510361127,0,0,0,0,0,48,0,0,0,0,0,0,0,5,0,0,55
54,510371082,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,24
55,510381004,0,0,0,0,0,12,0,0,0,0,5,0,0,4,0,0,25
56,510381006,0,0,0,0,0,14,0,0,0,0,0,0,0,5,0,0,26
57,510381010,3,0,0,0,0,44,0,0,0,0,0,4,0,5,0,0,55
58,510381011,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,17
59,510381020,6,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,46
