,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
8,510252136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510292173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,510301014,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
25,510311126,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
26,510311132,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,6
27,510311143,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
28,510311144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,510311149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
30,510321145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
31,510321147,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
32,510321161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,510331015,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
34,510331019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,510331049,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
36,510341158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,510341163,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
38,510341165,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
39,510341168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,510351121,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14
41,510351122,6,0,0,0,0,53,0,0,0,0,0,0,0,11,0,0,75
42,510351129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
43,510351130,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
44,510351133,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,10
45,510351135,0,0,0,0,0,40,0,0,0,0,0,0,0,3,0,0,42
46,510351137,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13
47,510351140,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
48,510351151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,510351154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
50,510361068,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,12
51,510361089,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
52,510361113,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
53,510361127,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
54,510371082,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
55,510381004,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
56,510381006,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
57,510381010,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13
58,510381011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,510381020,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,15
60,510381026,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,12
61,510391012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,510391017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,510391370,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,9
65,510391383,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
66,510391384,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
67,510391389,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
68,510391394,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
69,510391397,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,25
70,510401002,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
71,510401003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,510401008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
73,510401009,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
74,510401013,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8
75,510411021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,510411022,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5
77,510411023,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7
78,510411024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,510411027,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5
80,510411029,4,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,28
81,510411030,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
82,510411031,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10
83,510411033,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4
84,510411035,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5
85,510411036,3,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,13
86,510411037,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,15
87,510411041,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6
88,510411044,13,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,25
89,510411045,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
90,510411047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,510411048,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,14
92,510411050,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
93,510411051,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13
94,510411052,12,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,31
95,510411053,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,15
96,510411054,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,20
97,510411055,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
98,510411056,7,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,17
99,510411057,6,0,0,0,0,11,0,0,0,0,0,0,0,6,0,0,15
100,510411058,11,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,27
101,510411061,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13
102,510411062,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10
103,510411063,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,17
104,510411064,4,0,0,0,0,18,0,0,0,0,0,0,0,6,0,0,27
105,510411065,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10
106,510411066,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,11
107,510411067,15,0,0,0,0,42,0,0,0,0,0,0,0,9,0,0,69
108,510411069,8,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,31
109,510411070,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,24
110,510411071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,510411073,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,21
112,510411075,6,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,16
113,510411076,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
114,510411077,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,26
115,510411078,18,0,0,0,0,21,0,0,0,0,0,0,0,3,0,0,49
116,510411079,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6
117,510411080,25,0,0,0,0,9,0,0,0,0,0,0,0,8,6,0,44
118,510411081,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8
119,510411083,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,21
120,510411084,9,0,0,0,0,37,0,0,0,0,0,0,0,17,0,0,54
121,510411085,22,0,0,0,0,18,0,0,0,0,0,0,0,6,0,0,43
122,510411086,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11
123,510411087,36,0,0,0,0,21,0,0,0,0,0,0,0,8,0,0,74
124,510411088,15,0,0,0,0,12,0,0,0,4,0,0,0,3,0,0,24
