,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7
2,510232133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
8,510252136,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
12,510252141,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
20,510292173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
24,510301014,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,11
25,510311126,8,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,33
26,510311132,12,0,0,0,0,29,0,0,0,0,0,0,0,4,0,0,47
27,510311143,4,0,0,0,0,29,0,0,0,0,0,0,0,3,0,0,36
28,510311144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
29,510311149,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,13
