,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,3,0,0,0,0,402,36,14,0,0,21,13,124,67,12,0,687
1,510222145,8,17,0,0,0,862,85,11,14,5,22,8,149,187,15,0,1387
2,510232133,12,7,0,0,0,1310,83,3,6,5,16,6,25,259,12,0,1741
3,510232134,9,9,0,0,0,695,68,3,5,3,12,12,74,134,10,0,1029
4,510232135,21,11,0,0,9,1365,93,18,18,8,10,9,8,119,13,0,1696
5,510242137,18,22,0,0,5,1621,140,12,13,16,56,16,223,299,27,0,2454
6,510242143,0,8,0,0,0,321,22,7,0,3,10,8,54,60,6,0,507
7,510252132,17,13,0,0,3,1548,97,21,11,10,20,15,24,160,29,0,1963
8,510252136,9,26,0,0,7,1014,88,10,5,13,39,5,42,195,14,0,1458
9,510252138,6,4,0,0,0,652,34,0,10,6,11,11,8,82,4,0,825
10,510252139,17,18,0,0,5,756,77,0,5,8,27,4,10,132,8,0,1061
11,510252140,23,8,0,0,0,822,36,4,3,6,9,4,14,99,5,0,1030
12,510252141,36,29,0,0,3,656,108,0,10,3,19,4,0,137,17,0,1024
13,510252147,17,7,0,0,0,889,42,0,5,3,11,0,19,134,9,0,1126
14,510262172,0,0,0,0,0,199,14,9,0,0,13,3,46,31,0,0,325
15,510262174,4,0,0,0,0,205,20,7,7,0,4,5,39,25,0,0,317
16,510272130,7,19,0,0,0,1427,106,23,7,13,52,14,214,235,20,0,2145
17,510282142,0,4,0,0,0,194,10,0,0,0,6,0,41,41,4,0,304
18,510282144,8,4,0,0,0,603,33,13,0,0,15,4,90,87,12,0,856
19,510292171,5,8,0,0,0,1318,79,7,3,3,34,8,39,198,13,0,1713
20,510292173,3,0,3,0,0,1282,71,6,9,0,6,3,13,249,12,0,1648
21,510292175,3,0,0,0,0,335,25,9,3,0,24,3,75,79,4,0,563
22,510292177,0,3,0,0,0,265,16,3,4,0,19,4,104,33,14,0,463
23,510301001,0,7,0,0,0,344,25,0,0,8,20,5,109,56,6,0,586
24,510301014,3,13,0,0,0,471,26,8,4,4,11,4,128,73,12,0,758
25,510311126,44,4,0,0,0,469,26,0,0,13,12,5,52,62,3,0,681
26,510311132,287,60,0,0,0,1573,98,0,5,32,96,5,56,329,20,0,2559
27,510311143,62,21,0,0,0,1027,35,5,0,11,20,6,94,142,8,0,1443
28,510311144,21,3,0,0,0,223,5,0,0,0,4,0,28,30,0,0,331
29,510311149,29,16,0,0,0,710,23,0,0,20,46,0,33,72,13,0,959
30,510321145,42,7,0,0,0,464,26,0,4,4,39,8,133,83,13,0,819
31,510321147,76,17,0,0,3,953,44,0,4,11,54,4,53,146,10,0,1359
32,510321161,20,4,0,0,0,253,12,0,0,0,0,0,68,36,0,0,400
33,510331015,15,28,0,0,7,755,64,0,0,11,36,13,173,141,17,0,1260
34,510331019,3,12,0,0,0,172,13,0,3,0,9,0,29,33,4,0,282
35,510331049,4,0,0,0,0,141,3,0,0,3,0,0,32,16,4,0,211
36,510341158,33,17,0,0,0,772,31,3,3,6,35,0,73,110,7,0,1093
