,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
8,510252136,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
11,510252140,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
12,510252141,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510292173,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
24,510301014,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9
25,510311126,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,17
26,510311132,9,0,0,0,0,44,0,0,0,0,0,0,0,6,0,0,66
27,510311143,3,0,0,0,0,15,5,0,0,0,0,0,0,3,0,0,19
28,510311144,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12
29,510311149,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,15
30,510321145,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11
31,510321147,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10
32,510321161,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
33,510331015,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10
34,510331019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,510331049,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
36,510341158,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,9
37,510341163,0,0,0,0,0,15,0,0,0,0,0,0,0,6,0,0,25
38,510341165,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11
39,510341168,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
40,510351121,0,0,0,0,0,40,0,0,0,0,0,0,0,5,0,0,48
41,510351122,0,7,0,0,0,111,7,0,0,6,0,0,0,19,0,0,150
42,510351129,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,17
43,510351130,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,27
44,510351133,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,15
45,510351135,3,16,0,0,0,70,0,0,0,8,0,3,0,17,0,0,131
46,510351137,0,0,0,0,0,14,0,0,0,0,0,0,0,4,0,0,23
47,510351140,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,12
48,510351151,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11
49,510351154,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
50,510361068,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,24
51,510361089,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
52,510361113,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,13
53,510361127,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10
54,510371082,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,16
55,510381004,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,0,26
56,510381006,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,22
57,510381010,0,0,0,0,0,23,0,0,0,0,0,0,0,3,0,0,23
58,510381011,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8
59,510381020,4,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,30
60,510381026,12,0,0,0,0,22,0,0,0,3,0,0,0,10,0,0,43
61,510391012,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
62,510391017,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12
63,510391370,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
64,510391373,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14
65,510391383,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,18
66,510391384,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,19
67,510391389,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
68,510391394,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,18
69,510391397,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,19
70,510401002,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10
71,510401003,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
72,510401008,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,21
73,510401009,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13
74,510401013,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,7
75,510411021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
76,510411022,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,12
77,510411023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
78,510411024,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9
79,510411027,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,10
80,510411029,3,0,0,0,0,22,0,0,0,0,0,0,0,5,0,0,34
81,510411030,5,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,31
82,510411031,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,21
83,510411033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,510411035,6,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,28
