,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
8,510252136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,510252138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
11,510252140,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
13,510252147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510292173,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,12
24,510301014,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,19
25,510311126,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,18
26,510311132,24,0,0,0,0,48,0,0,0,0,0,0,0,8,0,0,82
27,510311143,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,33
28,510311144,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
29,510311149,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,28
30,510321145,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,18
31,510321147,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,29
32,510321161,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10
33,510331015,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,31
34,510331019,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7
35,510331049,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3
36,510341158,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,21
37,510341163,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,21
38,510341165,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
39,510341168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,510351121,0,0,0,0,0,36,3,0,0,0,0,0,0,9,0,0,51
41,510351122,5,14,0,0,4,170,3,0,4,9,0,0,0,31,0,0,241
42,510351129,0,7,0,0,0,24,5,0,0,0,0,0,0,0,0,0,41
43,510351130,0,3,0,0,0,34,0,0,0,0,0,0,4,0,0,0,41
44,510351133,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,33
45,510351135,4,28,0,0,0,117,7,0,7,23,0,0,7,15,0,0,202
46,510351137,0,4,0,0,0,24,5,0,0,0,0,0,0,5,0,0,33
47,510351140,0,0,0,0,0,20,0,0,0,0,0,0,0,7,0,0,25
48,510351151,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
49,510351154,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,8
50,510361068,5,0,0,0,0,40,0,0,0,3,0,0,0,4,0,0,57
51,510361089,0,0,0,0,0,19,0,0,0,5,0,0,0,0,0,0,21
52,510361113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
53,510361127,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,31
54,510371082,0,0,0,0,0,18,0,0,0,0,0,0,0,4,0,0,22
55,510381004,0,0,0,0,0,91,6,0,0,3,48,0,71,25,4,0,255
56,510381006,0,0,0,0,4,133,0,0,0,7,30,5,87,34,0,0,317
57,510381010,5,0,0,0,0,59,5,0,0,11,25,0,30,17,0,0,154
58,510381011,0,5,0,0,0,45,0,0,0,0,7,0,20,5,0,0,84
59,510381020,8,4,0,0,0,57,15,0,0,11,24,0,7,19,0,0,145
60,510381026,3,6,0,0,0,37,4,0,0,12,28,0,0,5,0,0,92
61,510391012,0,4,0,0,0,51,4,0,0,4,24,6,46,7,0,0,157
62,510391017,0,0,0,0,0,22,0,0,0,4,15,0,10,6,0,0,62
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
64,510391373,0,6,0,0,0,34,3,0,0,0,5,0,0,5,0,0,61
65,510391383,0,5,0,0,3,48,0,0,0,6,3,0,0,17,0,0,82
66,510391384,0,0,0,0,0,26,0,0,0,3,0,0,0,6,0,0,29
67,510391389,0,0,0,0,0,20,0,0,0,0,8,0,0,8,0,0,35
68,510391394,0,0,0,0,0,42,3,0,0,0,3,0,0,4,0,0,51
69,510391397,0,0,0,0,0,31,0,0,0,0,0,0,12,5,0,0,51
70,510401002,0,0,0,0,7,70,6,0,0,0,33,0,63,12,0,0,195
71,510401003,0,5,0,0,0,45,8,0,0,0,12,0,42,10,0,0,126
72,510401008,0,0,0,0,0,59,7,0,0,6,19,0,34,12,6,0,135
73,510401009,0,5,0,0,0,59,5,0,0,11,11,3,37,13,0,0,142
74,510401013,0,0,0,0,0,50,3,0,0,3,25,0,34,12,0,0,130
75,510411021,0,0,0,0,0,35,4,0,0,0,24,0,31,8,3,0,106
76,510411022,0,6,0,0,0,62,0,0,0,0,15,3,24,6,0,0,119
77,510411023,0,4,0,0,0,31,5,0,0,4,6,4,16,5,0,0,72
78,510411024,0,0,0,0,0,23,0,0,0,0,9,0,19,6,0,0,64
79,510411027,0,0,0,0,0,11,0,0,0,0,0,0,13,0,0,0,32
80,510411029,0,0,0,0,0,43,4,0,0,6,9,0,20,5,0,0,91
81,510411030,0,0,0,0,0,44,9,0,0,5,28,0,26,3,0,0,123
82,510411031,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,15
83,510411033,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,21
84,510411035,3,0,0,0,0,51,3,0,0,3,40,0,17,6,0,0,127
