Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"LGA (UR) by EETP Engagement in Employment, Education and Training"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"EETP Engagement in Employment, Education and Training","Fully engaged","Partially engaged","At least partially engaged","Not Engaged","Engagement status undetermined/Not Stated","Not applicable","Total",
"LGA (UR)",
"Albany (C)",10967,5338,1049,9897,2554,6780,36585,
"Armadale (C)",28522,9469,2004,17609,4261,17729,79596,
"Ashburton (S)",7054,730,683,772,2074,1717,13026,
"Augusta-Margaret River (S)",4224,2515,547,2925,950,3103,14257,
"Bassendean (T)",5631,1951,357,3637,810,2699,15093,
"Bayswater (C)",25993,8145,1481,14814,4046,10198,64674,
"Belmont (C)",15407,4354,922,8893,3719,6388,39685,
"Beverley (S)",439,229,45,570,194,272,1749,
"Boddington (S)",612,201,90,399,138,404,1846,
"Boyup Brook (S)",483,244,71,458,126,322,1702,
"Bridgetown-Greenbushes (S)",1237,700,139,1428,334,821,4661,
"Brookton (S)",255,119,30,281,116,169,974,
"Broome (S)",5662,1724,501,2742,1709,3883,16217,
"Broomehill-Tambellup (S)",345,113,43,256,115,277,1142,
"Bruce Rock (S)",300,104,16,252,65,187,926,
"Bunbury (C)",9723,4264,836,9000,2566,5541,31920,
"Busselton (C)",10657,5587,1035,9515,2420,7478,36688,
"Cambridge (T)",10341,3618,485,5471,1216,5646,26782,
"Canning (C)",37192,11372,1841,20076,3859,15850,90187,
"Capel (S)",6135,2329,446,3255,805,4152,17121,
"Carnamah (S)",209,46,8,147,36,102,551,
"Carnarvon (S)",1757,487,216,1217,718,1125,5524,
"Chapman Valley (S)",471,163,53,260,136,329,1416,
"Chittering (S)",1914,711,177,1209,410,1057,5474,
"Claremont (T)",3858,1289,137,2461,721,1596,10055,
"Cockburn (C)",40938,13407,2598,20844,5786,20891,104472,
"Collie (S)",2305,1021,260,2810,727,1672,8798,
"Coolgardie (S)",1224,277,121,773,383,831,3613,
"Coorow (S)",306,108,35,369,73,149,1038,
"Corrigin (S)",384,133,39,260,94,230,1147,
"Cottesloe (T)",2947,1030,157,1668,453,1340,7594,
"Cranbrook (S)",365,130,43,246,100,200,1084,
"Cuballing (S)",276,83,24,229,91,157,864,
"Cue (S)",45,13,9,53,42,31,192,
"Cunderdin (S)",547,162,41,310,119,277,1456,
"Dalwallinu (S)",564,158,32,262,121,294,1428,
"Dandaragan (S)",974,438,108,940,264,495,3212,
"Dardanup (S)",4590,1950,408,3253,803,3028,14028,
"Denmark (S)",1441,976,202,1725,498,1011,5850,
"Derby-West Kimberley (S)",1919,441,203,2322,862,1982,7728,
