,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13
1,Armadale,73,77,3,3,42,5899,614,94,18,36,66,280,1298,1139,43,0,9684
2,Ashburton,0,63,0,0,4,31,16,4,0,0,59,17,0,92,0,0,293
3,Augusta Margaret River,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
4,Bassendean,0,0,0,0,0,161,7,0,0,0,0,0,0,9,0,0,185
5,Bayswater,6,0,0,0,0,343,5,0,0,0,3,0,9,33,0,0,401
6,Belmont,23,9,0,0,10,1981,51,18,6,4,26,0,60,241,12,0,2447
7,Beverley,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
8,Boddington,0,4,0,0,0,36,4,0,0,0,4,0,0,22,0,0,74
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,22
16,Busselton,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10
17,Cambridge,24,0,0,0,0,133,6,0,0,0,0,0,11,28,0,0,194
18,Canning,94,54,3,0,19,4074,236,24,23,7,19,3,56,376,22,0,5005
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,9
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
25,Claremont,7,0,0,0,0,55,0,0,0,0,0,0,0,13,0,0,80
26,Cockburn,16,38,3,0,7,2444,143,13,5,3,14,4,51,243,11,0,3002
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
29,Coolgardie,0,7,0,0,0,4,0,0,0,0,0,9,0,11,0,0,26
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
32,Cottesloe,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,23
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,4,0,0,0,4,3,0,0,0,0,0,0,3,0,0,12
36,Cunderdin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Dardanup,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Derby-West Kimberley,0,0,0,0,0,5,3,0,0,0,4,0,0,0,0,0,15
42,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11
46,East Fremantle,0,0,0,0,0,35,4,0,0,0,0,0,0,7,0,0,44
47,East Pilbara,0,94,0,0,11,37,24,0,0,0,105,18,4,117,5,0,405
48,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Fremantle,16,14,0,0,0,669,23,0,0,0,3,0,24,80,6,0,834
51,Gingin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Gosnells,68,9,3,0,15,2829,192,13,9,8,12,3,31,439,23,0,3633
55,Greater Geraldton,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,8
56,Halls Creek,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
57,Harvey,0,10,0,0,0,7,0,0,0,0,5,0,0,0,0,0,22
58,Irwin,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
59,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Joondalup,16,0,0,0,0,111,7,0,0,0,0,0,0,24,0,0,161
