,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,Armadale,4,0,0,0,0,136,6,0,0,0,5,0,4,30,0,0,182
2,Ashburton,0,43,0,0,4,22,8,4,0,0,33,15,3,72,4,0,206
3,Augusta Margaret River,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,5,5,0,0,3,442,31,0,9,7,0,4,7,43,0,0,550
5,Bayswater,36,144,0,0,26,3058,332,47,7,48,46,216,1159,570,21,0,5721
6,Belmont,8,38,0,0,23,1601,65,11,5,13,25,3,45,237,12,0,2088
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,19
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,7
16,Busselton,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6
17,Cambridge,37,4,0,0,0,307,15,0,0,6,0,0,20,65,0,0,462
18,Canning,31,16,0,0,14,1060,48,10,7,6,12,0,37,83,4,0,1324
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14
24,Christmas Island,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,5
25,Claremont,24,0,0,0,0,137,5,0,0,0,0,0,0,26,0,0,195
26,Cockburn,22,4,0,0,0,397,11,3,0,0,0,0,17,31,3,0,496
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
29,Coolgardie,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,8
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cottesloe,14,0,0,0,0,34,0,0,0,0,0,0,0,9,0,0,60
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Dandaragan,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3
39,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Derby-West Kimberley,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3
42,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,11
46,East Fremantle,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,25
47,East Pilbara,4,58,0,0,0,35,26,9,0,0,53,10,3,77,0,0,269
48,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Fremantle,53,3,0,0,0,232,5,0,3,5,0,0,27,49,0,0,386
51,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Gosnells,3,5,0,0,0,306,6,0,5,0,0,0,6,34,0,0,370
55,Greater Geraldton,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,12
56,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
57,Harvey,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
58,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Joondalup,20,6,0,0,0,590,13,0,0,0,0,0,20,74,0,0,735
61,Kalamunda,4,0,0,0,0,301,16,0,4,0,0,0,0,27,0,0,354
62,Kalgoorlie-Boulder,0,7,0,0,0,15,3,0,0,0,3,4,0,14,0,0,43
63,Karratha,0,13,0,0,0,8,13,0,0,0,11,3,0,17,0,0,70
64,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
65,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kondinin,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
69,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Kwinana,4,0,0,0,0,68,3,0,0,0,0,0,3,14,0,0,101
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Laverton,0,6,0,0,0,12,10,0,0,0,7,0,0,23,0,0,59
74,Leonora,0,13,0,0,3,11,3,0,0,0,8,0,0,11,0,0,54
75,Mandurah,0,0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,32
76,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
77,Meekatharra,0,3,0,0,0,0,0,0,0,0,9,0,0,5,0,0,19
78,Melville,33,7,0,0,6,421,3,0,3,0,5,0,21,83,0,0,585
79,Menzies,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8
80,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
83,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
84,Mosman Park,4,0,0,0,0,30,0,0,0,0,0,0,0,4,0,0,40
85,Mount Magnet,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,5,0,0,0,0,165,7,0,0,0,0,0,0,12,0,0,188
89,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Murray,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,14
91,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Narrogin,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
