,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Armadale,0,0,0,0,0,177,10,0,0,0,0,0,0,27,0,0,220
2,Ashburton,0,43,0,0,0,24,13,3,0,0,36,13,4,37,0,0,178
3,Augusta Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,7,4,0,0,4,130,10,0,0,0,0,0,0,16,0,0,173
5,Bayswater,3,12,0,0,11,377,17,0,3,5,3,0,5,54,0,0,487
6,Belmont,12,157,0,0,65,2689,359,30,12,44,52,208,560,475,33,0,4689
7,Beverley,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
8,Boddington,0,13,0,0,0,13,0,0,0,0,0,0,0,15,0,0,39
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,10
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
17,Cambridge,4,5,0,0,0,143,9,0,0,0,0,0,4,29,0,0,198
18,Canning,26,33,0,0,17,1353,74,3,4,7,15,0,15,110,10,0,1682
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Claremont,7,0,0,0,0,47,8,0,0,0,0,0,0,11,0,0,79
26,Cockburn,13,9,0,0,5,386,9,0,0,0,0,0,9,26,0,0,465
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Coolgardie,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,19
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cottesloe,0,5,0,0,0,25,0,0,0,0,0,0,0,3,0,0,25
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,11
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Dandaragan,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7
39,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Derby-West Kimberley,0,0,0,0,0,4,0,0,0,0,4,0,0,6,0,0,12
42,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,11
46,East Fremantle,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9
47,East Pilbara,0,82,0,0,4,33,33,0,0,0,62,14,0,72,0,0,300
48,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
49,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
50,Fremantle,9,15,0,0,0,172,5,4,0,0,0,0,4,25,0,0,231
51,Gingin,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
